Country,Lag,MAE,RMSE,MAPE,Model,Sub-Model,Variation
KR,3,1040.649536,1297.539219,3.083851439,ElasticNet,AGTwRD,Related
CH,1,674.5086411,847.4963128,6.232524614,ElasticNet,AGTwRD,Related
CH,2,650.085823,853.6566743,5.92747698,ElasticNet,AGTwRD,Related
CH,3,588.9308008,776.4422185,5.363439281,ElasticNet,AGTwRD,Related
GB,1,1028.244416,1383.554497,2.904748845,ElasticNet,AGTwRD,Related
GB,2,2067.199986,2646.3347,5.050208704,ElasticNet,AGTwRD,Related
GB,3,3920.063939,5562.604241,7.809920671,ElasticNet,AGTwRD,Related
US,1,7315.195896,9205.663446,2.246587808,ElasticNet,AGTwRD,Related
US,2,7192.627098,9056.394082,2.209716475,ElasticNet,AGTwRD,Related
US,3,6995.718027,9207.027083,2.177665153,ElasticNet,AGTwRD,Related
CN,1,7678.540502,11275.68594,4.098936824,ElasticNet,AGTwRD,Related
CN,2,7678.540502,11275.68594,4.098936824,ElasticNet,AGTwRD,Related
CN,3,7678.540502,11275.68594,4.098936824,ElasticNet,AGTwRD,Related
CA,1,156.0682349,351.3693906,0.611288784,ElasticNet,AllVar,Related
CA,2,155.9859351,351.3867802,0.610990606,ElasticNet,AllVar,Related
CA,3,155.66304,351.4351901,0.609821821,ElasticNet,AllVar,Related
DE,1,473.3814435,743.7988026,0.509294395,ElasticNet,AllVar,Related
DE,2,489.5893507,759.7741651,0.529322629,ElasticNet,AllVar,Related
DE,3,490.2975575,760.3391498,0.530103754,ElasticNet,AllVar,Related
JP,1,712.3916341,1429.991932,0.463317906,ElasticNet,AllVar,Related
JP,2,685.532169,1418.916727,0.448506495,ElasticNet,AllVar,Related
JP,3,687.517598,1419.243006,0.4496796,ElasticNet,AllVar,Related
KR,1,825.2606776,1629.944619,1.644831525,ElasticNet,AllVar,Related
KR,2,882.0928383,1629.73555,1.692947863,ElasticNet,AllVar,Related
KR,3,909.7422898,1631.129658,1.722032319,ElasticNet,AllVar,Related
CH,1,278.0180093,514.4565165,2.026439901,ElasticNet,AllVar,Related
CH,2,275.7640536,517.2125382,2.019575524,ElasticNet,AllVar,Related
CH,3,280.6253872,522.6749536,2.07049722,ElasticNet,AllVar,Related
GB,1,535.1788575,1884.745395,0.975312095,ElasticNet,AllVar,Related
GB,2,527.2834922,1880.06728,0.968513857,ElasticNet,AllVar,Related
GB,3,532.5481948,1879.960213,0.976912613,ElasticNet,AllVar,Related
US,1,2897.652468,4455.300139,0.636532728,ElasticNet,AllVar,Related
US,2,3022.928376,4479.899962,0.661933966,ElasticNet,AllVar,Related
US,3,3023.86136,4480.192836,0.662137594,ElasticNet,AllVar,Related
CN,1,3746.523798,6729.531794,2.020290253,ElasticNet,AllVar,Related
CN,2,4136.759104,6788.052238,2.113537552,ElasticNet,AllVar,Related
CN,3,4159.48657,6807.715311,2.1764835,ElasticNet,AllVar,Related
AU,1,1267.875952,1648.5081,6.892593548,ElasticNet,Macros,Related
AU,2,1267.40586,1647.360358,6.790039681,ElasticNet,Macros,Related
AU,3,1355.830388,1689.002021,7.021841138,ElasticNet,Macros,Related
AT,1,135.3836822,179.0376458,2.832936476,ElasticNet,Macros,Related
AT,2,139.2017409,170.1698164,2.859679036,ElasticNet,Macros,Related
AT,3,140.0859723,171.711502,2.882617809,ElasticNet,Macros,Related
BE,1,451.9841532,705.7774229,3.382654012,ElasticNet,Macros,Related
BE,2,479.1946422,739.9513145,3.633399262,ElasticNet,Macros,Related
BE,3,499.8958606,768.5302544,3.818862841,ElasticNet,Macros,Related
CA,1,415.8854945,505.0715259,2.433875928,ElasticNet,Macros,Related
CA,2,421.1239302,507.9446452,2.493256463,ElasticNet,Macros,Related
CA,3,434.9732107,515.8649005,2.554788344,ElasticNet,Macros,Related
CZ,1,328.8089271,363.1651068,5.047526734,ElasticNet,Macros,Related
CZ,2,345.8290153,382.717238,5.309937763,ElasticNet,Macros,Related
CZ,3,396.8733803,429.7729015,5.982409696,ElasticNet,Macros,Related
DK,1,165.6125951,189.881904,3.887794259,ElasticNet,Macros,Related
DK,2,169.6390091,191.8493681,3.936496309,ElasticNet,Macros,Related
DK,3,169.6384141,191.8489103,3.936486087,ElasticNet,Macros,Related
FI,1,270.7939027,296.382299,6.087150581,ElasticNet,Macros,Related
FI,2,277.3244979,306.9742737,6.310022514,ElasticNet,Macros,Related
