Model,Train_RMSE,Validation_RMSE,Test_RMSE,Train_MAE,Validation_MAE,Test_MAE,Train_MAPE,Validation_MAPE,Test_MAPE
Model_1,4097.59033203125,5027.8818359375,4398.458984375,2225.456787109375,2410.662109375,2337.4453125,1.7351213693618774,1.8412076234817505,1.6358146667480469
Model_2,3610.979248046875,4598.7763671875,3937.63623046875,1613.9722900390625,1811.617431640625,1690.9498291015625,1.1524639129638672,1.2891404628753662,1.0839885473251343
Ensemble,,4785.78271484375,4141.822265625,,2100.5009765625,2002.7496337890625,,1.5366770029067993,1.3302597999572754
