Country,Models,RMSE,MAE,MAPE
0,"['Model_1', 'Model_2', 'Ensemble']","[606.4733276367188, 304.25079345703125, 431.6954345703125]","[572.837646484375, 217.8324432373047, 372.3599853515625]","[2.0307934284210205, 0.7585728764533997, 1.3096462488174438]"
1,"['Model_1', 'Model_2', 'Ensemble']","[560.8362426757812, 293.9592590332031, 424.1615905761719]","[555.1702880859375, 275.647216796875, 415.4091796875]","[3.7238657474517822, 1.8012855052947998, 2.7625784873962402]"
2,"['Model_1', 'Model_2', 'Ensemble']","[7383.79833984375, 5680.69091796875, 6494.63134765625]","[6504.03955078125, 4894.20751953125, 5699.12255859375]","[2.739800214767456, 2.1782524585723877, 2.459026336669922]"
3,"['Model_1', 'Model_2', 'Ensemble']","[1551.80322265625, 1269.685791015625, 1389.9847412109375]","[1150.3037109375, 730.3023681640625, 938.61865234375]","[1.057922124862671, 0.6831350326538086, 0.8690011501312256]"
4,"['Model_1', 'Model_2', 'Ensemble']","[3052.8076171875, 2689.278564453125, 2855.380615234375]","[1156.392578125, 703.9775390625, 878.5427856445312]","[2.014315605163574, 1.1893657445907593, 1.4650205373764038]"
5,"['Model_1', 'Model_2', 'Ensemble']","[2083.68603515625, 1805.638671875, 1925.8623046875]","[1589.9893798828125, 1217.3533935546875, 1393.4237060546875]","[0.9640066623687744, 0.741001546382904, 0.8463878035545349]"
6,"['Model_1', 'Model_2', 'Ensemble']","[1765.8465576171875, 1643.1627197265625, 1693.669189453125]","[1194.9267578125, 956.8900756835938, 1074.58544921875]","[1.939357042312622, 1.6472136974334717, 1.7908774614334106]"
7,"['Model_1', 'Model_2', 'Ensemble']","[8217.0078125, 7859.74560546875, 8004.5234375]","[5190.64208984375, 3882.25439453125, 4536.44970703125]","[0.9816238880157471, 0.711615264415741, 0.8466197848320007]"
