Config,MAPE_current,RMSE_current,MAE,n,MAPE_old,RMSE_old,OOS_R2_vs_RW
LagRD,4.620145143246273,6.390189798569018,4.321279932471535,23,8.009,8.628,0.588
Macros,5.311998574240034,7.115321424878125,5.351338851247399,23,11.037,8.929,0.559
AGT,5.385324721916181,16.630459717444893,8.390101449494745,23,11.226,16.971,-0.594
MGT,5.427667058935244,16.726057882790386,8.910708891788401,23,11.551,13.931,-0.074
AGTwRD,5.100618100770118,18.37307811820903,8.460898283322091,23,11.567,13.485,-0.007
MGTwRD,5.418103691628179,12.943710816016873,8.088113893932746,23,8.491,11.21,0.304
AllVar,5.212115221451223,14.995754582479597,8.232767426441788,23,8.628,10.705,0.366
