Config,quantile_coverage,gaussian_coverage,relative_width
LagRD,50.36231884057971,53.2608695652174,6.051429439701315
Macros,44.20289855072464,46.3768115942029,7.399159883451286
AGT,52.89855072463768,59.05797101449275,11.612868046482145
MGT,42.028985507246375,53.985507246376805,10.575016521963478
AGTwRD,60.14492753623188,63.40579710144928,10.304819209550553
MGTwRD,42.028985507246375,45.65217391304348,11.313762960170513
AllVar,47.82608695652174,56.88405797101449,10.837866176999727
