Config,MAPE,RMSE,MAE,n
LagRD,4.620145143246273,6.390189798569018,4.321279932471535,23
Macros,5.311998574240034,7.115321424878125,5.351338851247399,23
AGT,5.385324721916181,16.630459717444893,8.390101449494745,23
MGT,5.427667058935244,16.726057882790386,8.910708891788401,23
AGTwRD,5.100618100770118,18.37307811820903,8.460898283322091,23
MGTwRD,5.418103691628179,12.943710816016873,8.088113893932746,23
AllVar,5.212115221451223,14.995754582479597,8.232767426441788,23
