Lag,MAE,RMSE,MAPE
1.0,103996.22209669426,129639.25443571148,179.1599920943186
2.0,97078.46476547777,121074.83605283627,164.34396339885134
3.0,92351.37529701447,115906.5365263754,155.2842841336308
