Lag_order,n_GT_features,Validation_MAPE,Test_MAPE,Test_RMSE,Test_R2
1,57,6.696312162959572,18.326677549387288,98.78419664002338,0.7893389654245919
2,114,6.374912903645138,15.341057913569983,76.2601682443927,0.8744534490242075
3,171,5.502613283919235,13.959166966600414,70.1624804416316,0.8937279308711726
4,228,4.6398797923065,13.104203666062443,61.29679419032189,0.9188880595324825
