Config,seed,epoch,val_MAPE
AGT_L2,0,1,14.634517136004217
AGT_L2,0,2,11.973850868363717
AGT_L2,0,3,12.35161094025677
AGT_L2,0,4,10.010985404698856
AGT_L2,0,5,9.505713792640018
AGT_L2,0,6,8.644791989878001
AGT_L2,0,7,8.568753917386518
AGT_L2,0,8,9.507292797673482
AGT_L2,0,9,8.092355850300128
AGT_L2,0,10,7.83331519658472
AGT_L2,0,11,8.984179236345252
AGT_L2,0,12,8.609022287835383
AGT_L2,0,13,8.562615179936715
AGT_L2,0,14,9.255720100577262
AGT_L2,0,15,9.153253607631358
AGT_L2,0,16,7.470915903382613
AGT_L2,0,17,8.570755564592817
AGT_L2,0,18,9.880880922970288
AGT_L2,0,19,8.162697447864023
AGT_L2,0,20,8.317778312127768
AGT_L2,0,21,8.661466295902672
AGT_L2,0,22,8.02390773117064
AGT_L2,0,23,8.483686078508262
AGT_L2,0,24,8.252197074899074
AGT_L2,0,25,8.361556167211585
AGT_L2,0,26,7.572536236654923
AGT_L2,0,27,7.84772124261829
AGT_L2,0,28,8.49510141428034
AGT_L2,0,29,7.9194051204307945
AGT_L2,0,30,8.313157227340785
AGT_L2,0,31,7.968910931498143
AGT_L2,0,32,7.727225241660456
AGT_L2,0,33,7.13913109447147
AGT_L2,0,34,7.143189925677632
AGT_L2,0,35,7.655908454776032
AGT_L2,0,36,8.162616778650907
AGT_L2,0,37,8.059928195725135
AGT_L2,0,38,7.388567690906836
AGT_L2,0,39,7.431934857785477
AGT_L2,0,40,7.643854118140622
AGT_L2,0,41,7.955417952937401
AGT_L2,0,42,8.31206075517408
AGT_L2,0,43,8.777990984153123
AGT_L2,0,44,8.159637100680033
AGT_L2,0,45,7.650183840978025
AGT_L2,0,46,8.230311045646747
AGT_L2,0,47,7.355274434597818
AGT_L2,0,48,8.08972645307144
AGT_L2,0,49,8.516024018253693
AGT_L2,0,50,8.877276349569685
AGT_L2,0,51,8.532515090544342
AGT_L2,0,52,8.398460724514981
AGT_L2,0,53,8.357195570981853
AGT_L2,0,54,7.951366702312517
AGT_L2,0,55,8.685367354340212
AGT_L2,0,56,8.215085659686947
AGT_L2,0,57,8.188815182157109
AGT_L2,0,58,8.757816393501702
AGT_L2,0,59,7.881562304623555
AGT_L2,0,60,7.989205714993604
AGT_L2,0,61,7.887434887559694
AGT_L2,0,62,8.379831684316057
AGT_L2,0,63,8.417212983094595
AGT_L2,0,64,7.32330594676385
AGT_L2,0,65,7.801905403142609
AGT_L2,0,66,7.869312508829454
AGT_L2,0,67,8.190655889535677
AGT_L2,0,68,7.63944327361833
AGT_L2,0,69,8.475905111716635
AGT_L2,0,70,8.69139293829285
AGT_L2,0,71,7.5953111972996386
AGT_L2,0,72,7.88531336906029
AGT_L2,0,73,8.310440651428246
AGT_L2,0,74,8.797713874096557
AGT_L2,0,75,9.539030660573664
AGT_L2,0,76,8.9691448927281
AGT_L2,0,77,8.865914210478348
AGT_L2,0,78,8.205227908293928
AGT_L2,0,79,8.658388546502934
AGT_L2,0,80,7.984789414535595
AGT_L2,0,81,7.448662315991786
AGT_L2,0,82,8.407343937483033
AGT_L2,0,83,8.347569550896146
AGT_L2,0,84,8.156575823594247
AGT_L2,0,85,8.154396609161648
AGT_L2,0,86,8.104564804227858
AGT_L2,0,87,7.729889851932768
AGT_L2,0,88,8.248357719032443
AGT_L2,0,89,8.588564924095788
AGT_L2,0,90,7.972574158932039
AGT_L2,0,91,8.351246240258007
AGT_L2,0,92,7.949147616586555
AGT_L2,0,93,8.47597496636308
AGT_L2,0,94,8.923139116112527
AGT_L2,0,95,8.598264550370427
AGT_L2,0,96,7.9019277931546315
AGT_L2,0,97,8.359907332099901
AGT_L2,0,98,8.10093986682775
AGT_L2,1,1,16.985887490920266
AGT_L2,1,2,14.859429457104737
AGT_L2,1,3,12.393432623006875
AGT_L2,1,4,11.241605422356256
AGT_L2,1,5,9.58124669543879
AGT_L2,1,6,8.969144122433393
AGT_L2,1,7,8.620193309867622
AGT_L2,1,8,9.254490159996493
AGT_L2,1,9,10.264220523060462
AGT_L2,1,10,8.988924814228502
AGT_L2,1,11,9.149648561646845
AGT_L2,1,12,8.201564403106525
AGT_L2,1,13,7.828215730982146
AGT_L2,1,14,7.443372908527277
AGT_L2,1,15,7.9193909956487865
AGT_L2,1,16,8.24832070407207
AGT_L2,1,17,8.530619032535366
AGT_L2,1,18,9.208009044670337
AGT_L2,1,19,9.38462969390556
AGT_L2,1,20,7.642183103920337
AGT_L2,1,21,7.1235826694696245
AGT_L2,1,22,8.299310788389807
AGT_L2,1,23,8.051678233932972
AGT_L2,1,24,7.442922656976417
AGT_L2,1,25,7.295083955434746
AGT_L2,1,26,7.897278335232381
AGT_L2,1,27,8.429256160903858
AGT_L2,1,28,8.877871467482192
AGT_L2,1,29,7.599439377350099
AGT_L2,1,30,7.78198282255545
AGT_L2,1,31,8.491869819618106
AGT_L2,1,32,8.867943123192742
AGT_L2,1,33,8.698083550017577
AGT_L2,1,34,9.054383394746816
AGT_L2,1,35,7.418027222747492
AGT_L2,1,36,7.795156131771027
AGT_L2,1,37,7.967029350878822
AGT_L2,1,38,8.83506591013691
AGT_L2,1,39,8.166063203060139
AGT_L2,1,40,7.7449226638878335
AGT_L2,1,41,8.218638381276513
AGT_L2,1,42,7.794594196754619
AGT_L2,1,43,8.086359105289914
AGT_L2,1,44,9.537761359976479
AGT_L2,1,45,7.831004165338734
AGT_L2,1,46,8.371688165737142
AGT_L2,1,47,9.443883180517904
AGT_L2,1,48,8.928421357271151
AGT_L2,1,49,8.410920792790627
AGT_L2,1,50,8.886410007587626
AGT_L2,1,51,8.716870278142736
AGT_L2,1,52,8.684944200565356
AGT_L2,1,53,8.53054418864588
AGT_L2,1,54,8.090413196011795
AGT_L2,1,55,8.384362938628628
AGT_L2,1,56,8.731134378787075
AGT_L2,1,57,8.239484686106227
AGT_L2,1,58,8.512496469183949
AGT_L2,1,59,8.692985416402516
AGT_L2,1,60,8.909646029063623
AGT_L2,1,61,9.197172542409415
AGT_L2,1,62,8.834572529648858
AGT_L2,1,63,7.836907889226913
AGT_L2,1,64,8.894915949794195
AGT_L2,1,65,9.00836907454557
AGT_L2,1,66,9.118714343675812
AGT_L2,1,67,8.541249082269184
AGT_L2,1,68,7.9787126565298045
AGT_L2,1,69,7.631491058418718
AGT_L2,1,70,8.045510252879541
AGT_L2,1,71,7.916974789799454
AGT_L2,1,72,8.446293658538437
AGT_L2,1,73,7.972315399032724
AGT_L2,1,74,7.746639864051283
AGT_L2,1,75,8.687410911273066
AGT_L2,1,76,8.348818738611058
AGT_L2,1,77,8.328699468129425
AGT_L2,1,78,8.560458629580586
AGT_L2,1,79,8.0310050734102
AGT_L2,1,80,7.603360663142736
AGT_L2,1,81,8.288031200334247
AGT_L2,1,82,8.214787523781402
AGT_L2,1,83,8.651032444956467
AGT_L2,1,84,8.349941794060966
