Country,Algorithm,Model_Variation,RMSE,MAE,MAPE
0,MLP-Pytorch,AGT,2813.879150390625,2154.881591796875,7.806037902832031
1,MLP-Pytorch,AGT,3435.752685546875,3115.1630859375,22.156009674072266
2,MLP-Pytorch,AGT,32410.35546875,25530.693359375,19.373149871826172
3,MLP-Pytorch,AGT,5148.048828125,4543.82958984375,4.589383602142334
4,MLP-Pytorch,AGT,7671.5576171875,5037.1630859375,10.64039134979248
5,MLP-Pytorch,AGT,11042.349609375,9143.134765625,5.599745750427246
6,MLP-Pytorch,AGT,6707.10986328125,5649.15283203125,9.232147216796875
7,MLP-Pytorch,AGT,9781.44140625,7644.767578125,1.5672985315322876
CA,ElasticNet,AGT,22013.750387784323,16262.246250849286,57.76773823932055
KR,ElasticNet,AGT,57376.78499170819,54902.99551031774,87.11960076009031
CH,ElasticNet,AGT,132124.33672861694,131092.41942088568,884.6706611563272
DE,ElasticNet,AGT,39322.44558557625,36060.68642729191,32.95073074528422
US,ElasticNet,AGT,63052.93046520531,48882.839671167145,9.881523555393736
GB,ElasticNet,AGT,31598.972998870155,24633.19212576758,51.15624169782507
CN,ElasticNet,AGT,140499.72647845515,111959.6694060375,37.37008269406153
JP,ElasticNet,AGT,38079.50779377583,33164.33773952908,20.214173739335312
CA,MLP-Scikit,AGT,4655.805957744398,2827.1980111599337,10.153121760347652
KR,MLP-Scikit,AGT,7768.298277322563,6274.560087632342,9.942223940936495
CH,MLP-Scikit,AGT,17897.229305493325,13907.290186751348,93.75091743332555
DE,MLP-Scikit,AGT,9510.005202388738,7162.050922859733,6.866797505521063
US,MLP-Scikit,AGT,22745.19398295349,13320.527975718562,2.7993201651489996
GB,MLP-Scikit,AGT,3885.331740484031,2666.300903530786,5.35200321738285
CN,MLP-Scikit,AGT,47228.50580697199,42644.82116444767,25.748997217003055
JP,MLP-Scikit,AGT,11935.84097243533,8724.589166989063,5.414783477573687
CA,RF,AGT,135.43242425461173,29.517654993877777,0.1080277732896498
KR,RF,AGT,492.5664973124968,144.02422206660873,0.2844957648539674
CH,RF,AGT,176.28260689030148,49.06957658053326,0.3793628538974819
DE,RF,AGT,1286.103020855192,275.23870582018094,0.292547348165283
US,RF,AGT,8364.171581920045,1467.5565943957763,0.3351960407020913
GB,RF,AGT,1138.1597832343136,192.83871634829313,0.4256090686163048
CN,RF,AGT,1973.6582745379012,581.875727579265,0.3295610784265278
JP,RF,AGT,753.0319602103522,229.0176661210255,0.1453676736818507
CA,SVR,AGT,106597.8998258635,103534.2006064179,369.5036484543098
KR,SVR,AGT,50622.94051389825,46778.37273294966,71.05401368862702
CH,SVR,AGT,35726.37025582623,20770.584884621097,171.79686384935027
DE,SVR,AGT,79531.4745113656,77211.41253249983,75.0972739047098
US,SVR,AGT,143645.1005430098,127886.78570974738,26.076281187148354
GB,SVR,AGT,109958.36495867828,105324.58402499036,211.45539921860333
CN,SVR,AGT,234290.5178819235,210707.3566720812,84.69913456247141
JP,SVR,AGT,149277.44733756917,147687.41071788562,90.24140469465756
CA,XGBoost,AGT,230.0048430386216,153.6877209791847,0.5529849882345739
KR,XGBoost,AGT,584.2521909508039,349.2554527783833,0.7043854797206445
CH,XGBoost,AGT,238.90043078718784,208.57085170847716,1.5299737689138708
DE,XGBoost,AGT,1411.3985756238217,565.7752141369288,0.5881663799842584
US,XGBoost,AGT,352.6029268864914,162.45791264840548,0.0343161366381573
GB,XGBoost,AGT,356.782472808259,273.85358979081707,0.5805856122002278
CN,XGBoost,AGT,1612.0018099830004,335.52518934110486,0.3346274511806533
JP,XGBoost,AGT,739.7975990074398,501.03791808426024,0.3080313536258789
0,MLP-Pytorch,AGTwRD,290.4430847167969,156.54522705078125,0.5515497922897339
1,MLP-Pytorch,AGTwRD,149.6126251220703,147.6707763671875,1.0262748003005981
2,MLP-Pytorch,AGTwRD,4260.82861328125,3754.118408203125,1.8333362340927124
3,MLP-Pytorch,AGTwRD,1195.721435546875,707.529052734375,0.6524165868759155
4,MLP-Pytorch,AGTwRD,2940.7900390625,734.5748901367188,1.2810389995574951
5,MLP-Pytorch,AGTwRD,1606.7073974609375,835.3345336914062,0.5087730288505554
6,MLP-Pytorch,AGTwRD,1702.98388671875,926.7974243164062,1.4513041973114014
7,MLP-Pytorch,AGTwRD,8336.21875,4122.77978515625,0.7627564668655396
0,MLP-Pytorch,AGTwRD,293.8319091796875,151.68663024902344,0.5358415842056274
1,MLP-Pytorch,AGTwRD,141.3510284423828,141.187744140625,0.9661076664924622
2,MLP-Pytorch,AGTwRD,4217.548828125,3713.835693359375,1.8492398262023926
3,MLP-Pytorch,AGTwRD,1187.339111328125,687.5390625,0.6297458410263062
4,MLP-Pytorch,AGTwRD,2948.767578125,755.19580078125,1.3122469186782837
5,MLP-Pytorch,AGTwRD,1629.469970703125,880.0213012695312,0.5353882908821106
6,MLP-Pytorch,AGTwRD,1704.66845703125,929.2545166015625,1.4314367771148682
7,MLP-Pytorch,AGTwRD,8320.6357421875,4297.43115234375,0.797756016254425
0,MLP-Pytorch,AGTwRD,289.832763671875,149.4095458984375,0.5266359448432922
1,MLP-Pytorch,AGTwRD,145.06996154785156,144.4293212890625,0.9961912631988525
2,MLP-Pytorch,AGTwRD,4237.79052734375,3733.976806640625,1.8412880897521973
3,MLP-Pytorch,AGTwRD,1191.094482421875,697.5339965820312,0.6410810947418213
4,MLP-Pytorch,AGTwRD,2944.305419921875,740.0223388671875,1.283387303352356
5,MLP-Pytorch,AGTwRD,1617.6031494140625,857.6786499023438,0.5220810770988464
6,MLP-Pytorch,AGTwRD,1703.5523681640625,928.013916015625,1.4413317441940308
7,MLP-Pytorch,AGTwRD,8327.3193359375,4210.10302734375,0.7802557945251465
KR,ElasticNet,AGTwRD,23213.314001634495,19137.514098842268,39.870119437812
DE,ElasticNet,AGTwRD,17418.369903403946,14411.378106597627,12.383434649784755
GB,ElasticNet,AGTwRD,29418.128215999433,26415.589695495655,60.905564553445345
JP,ElasticNet,AGTwRD,45625.32546176313,45435.2470249959,27.85245852771915
CA,ElasticNet,AGTwRD,47714.31727995014,47696.869608480425,170.94552885494116
US,ElasticNet,AGTwRD,72767.27921571684,59793.98638923159,11.855261121661666
CN,ElasticNet,AGTwRD,60248.365741284455,52778.296581867595,21.19775474258931
CH,ElasticNet,AGTwRD,59269.60282328275,59227.4143091919,391.8030789849753
KR,MLP-Scikit,AGTwRD,1605.389846619223,1062.8034750484965,1.6637006687049911
DE,MLP-Scikit,AGTwRD,1461.2087989574063,1109.8921210640765,1.0377998671682656
GB,MLP-Scikit,AGTwRD,1498.4337010231584,615.3227002470961,1.081275921089248
JP,MLP-Scikit,AGTwRD,2430.9660561362657,1754.9946750645267,1.0841482395721511
