Country,Algorithm,Model_Variation,RMSE,MAE,MAPE
GB,ElasticNet,Macros,30011.16728673289,25925.82759774452,61.066879418190446
JP,ElasticNet,Macros,44522.61446990615,44128.72839263988,26.993460079879277
CA,ElasticNet,Macros,44435.007892013695,44163.11812578012,158.81369616008797
US,ElasticNet,Macros,71006.96239518141,58216.525146080225,11.519036623823409
CN,ElasticNet,Macros,49527.487349309966,42780.86834457926,17.639150174462774
CH,ElasticNet,Macros,42936.31442406813,41994.98503754078,285.38035575657966
KR,MLP-Scikit,Macros,1450.7250035047036,897.7794349619365,1.4839406738418166
DE,MLP-Scikit,Macros,1300.1572303888515,900.3693592186753,0.8437226175245364
GB,MLP-Scikit,Macros,1333.5076702203942,808.5946511027201,1.4732404354442448
JP,MLP-Scikit,Macros,1995.1597846640184,1180.7794622351582,0.7321600217530644
CA,MLP-Scikit,Macros,285.5652735822963,157.2244396072733,0.5587183368940518
US,MLP-Scikit,Macros,6375.469423559251,4271.345994662029,0.8533337666928239
CN,MLP-Scikit,Macros,8511.101341590267,5225.799353388008,2.602530461670642
CH,MLP-Scikit,Macros,449.0792807192554,289.0191428038534,1.903519093713402
KR,RF,Macros,498.1030882259187,160.57459779787922,0.2544085085450085
DE,RF,Macros,450.44463945035153,143.99468436801112,0.1339495078119271
GB,RF,Macros,442.5782487067529,86.97929669488187,0.147964953719972
JP,RF,Macros,682.5734767523346,194.2425528620163,0.1203688401159665
CA,RF,Macros,83.81459997887998,24.162011283425915,0.0858672415336485
US,RF,Macros,2425.995211972778,794.2610482852458,0.1507499476880963
CN,RF,Macros,3233.9503003312375,1116.731319205157,0.5217441658291726
CH,RF,Macros,184.40099674355437,75.76172622292549,0.544758804799085
KR,SVR,Macros,72367.79181411871,68450.27566999532,99.99999999999984
DE,SVR,Macros,108219.0053032784,106972.9538905632,99.9999999999999
GB,SVR,Macros,55251.64609512387,52915.75172297888,99.9999999999998
JP,SVR,Macros,163006.64765258328,162799.82495703874,99.99999999999996
CA,SVR,Macros,28043.463407877265,28007.32869692257,99.99999999999966
US,SVR,Macros,509199.5081060253,500059.4882413555,99.99999999999996
CN,SVR,Macros,273055.3417956813,244000.7768083364,99.99999999999996
CH,SVR,Macros,15773.709876018607,15597.830604325623,99.99999999999936
KR,XGBoost,Macros,310.6722182448607,130.13217753284894,0.2009190968111773
DE,XGBoost,Macros,417.3675473509794,194.16170821495825,0.1788167572028375
GB,XGBoost,Macros,214.7942489528062,120.2043340130726,0.2406389121385683
JP,XGBoost,Macros,305.36686402534843,128.77050245612307,0.0792188074612419
CA,XGBoost,Macros,125.47041983636254,64.40396595064583,0.2296294013458269
US,XGBoost,Macros,298.21830534929575,125.02017215768582,0.0271671767308125
CN,XGBoost,Macros,414.07608659778344,161.29678960290005,0.0994366558700588
CH,XGBoost,Macros,45.26942231981869,37.626200751875935,0.2723580855494528
0,MLP-Pytorch,MGT,3092.83935546875,2234.657470703125,8.137645721435547
1,MLP-Pytorch,MGT,5507.2880859375,5097.98095703125,34.385990142822266
2,MLP-Pytorch,MGT,32941.3125,25907.11328125,19.56844711303711
3,MLP-Pytorch,MGT,7270.130859375,4525.36376953125,4.331105709075928
4,MLP-Pytorch,MGT,7099.4912109375,5277.552734375,11.211393356323242
5,MLP-Pytorch,MGT,8257.6689453125,6537.87890625,3.9950408935546875
6,MLP-Pytorch,MGT,5546.21533203125,4639.6025390625,7.04316520690918
7,MLP-Pytorch,MGT,6722.921875,4301.7763671875,0.9068652987480164
0,MLP-Pytorch,MGT,2329.08349609375,1811.1005859375,6.558863162994385
1,MLP-Pytorch,MGT,2107.871337890625,1933.367919921875,13.659058570861816
2,MLP-Pytorch,MGT,32837.54296875,26136.390625,19.267948150634766
3,MLP-Pytorch,MGT,3871.18701171875,2915.778564453125,2.9684367179870605
4,MLP-Pytorch,MGT,5624.94482421875,3290.572265625,7.292138576507568
5,MLP-Pytorch,MGT,7654.90625,5990.72607421875,3.646364450454712
6,MLP-Pytorch,MGT,6059.7958984375,4869.14599609375,7.271859169006348
7,MLP-Pytorch,MGT,7498.17822265625,4814.6015625,1.0012412071228027
0,MLP-Pytorch,MGT,2581.218017578125,1959.2852783203125,7.117869853973389
1,MLP-Pytorch,MGT,3713.04345703125,3494.55322265625,23.860458374023438
2,MLP-Pytorch,MGT,32860.53515625,26021.751953125,19.418197631835938
3,MLP-Pytorch,MGT,4413.3056640625,3188.784423828125,3.197380542755127
4,MLP-Pytorch,MGT,5576.0048828125,3691.30908203125,8.116179466247559
5,MLP-Pytorch,MGT,7764.93115234375,6222.25927734375,3.79556941986084
6,MLP-Pytorch,MGT,5664.84912109375,4715.37060546875,7.0735087394714355
7,MLP-Pytorch,MGT,5657.17431640625,3341.8505859375,0.6711162328720093
CA,ElasticNet,MGT,21715.768424791633,15916.59686126899,56.465362661668685
KR,ElasticNet,MGT,57633.241361441105,55100.32636633058,87.6800316620803
CH,ElasticNet,MGT,131451.15018917556,130613.78128631748,878.8999980814949
DE,ElasticNet,MGT,39653.87592992708,35847.95906388051,32.78171350647165
US,ElasticNet,MGT,62398.774118866386,48230.84071432647,9.742817047413368
GB,ElasticNet,MGT,31532.724376450697,24539.93862925501,50.817710859976664
CN,ElasticNet,MGT,139947.75513358953,111516.66688604152,37.233115192252775
JP,ElasticNet,MGT,38724.92085663151,33737.70625765228,20.565483935954624
CA,MLP-Scikit,MGT,10080.17825633616,7295.556715735461,26.55556518826834
KR,MLP-Scikit,MGT,15139.428853827072,11795.27207278376,19.195910571367797
CH,MLP-Scikit,MGT,20567.016544369784,14541.286230240396,105.7130602532919
DE,MLP-Scikit,MGT,16400.304800827507,11282.466728517142,10.09933684198082
US,MLP-Scikit,MGT,24614.516934556726,13754.306691357577,2.907845328203041
GB,MLP-Scikit,MGT,11009.916820025192,8329.76853974963,18.108366154764735
CN,MLP-Scikit,MGT,48336.3655197412,42075.48022030925,26.753075829648132
JP,MLP-Scikit,MGT,12486.331873843326,9044.861182905095,5.638069440348303
CA,RF,MGT,468.7871221919824,64.73410283708897,0.2403906607884603
KR,RF,MGT,849.40958203313,195.3708916215024,0.4250170122785296
CH,RF,MGT,416.5259569981479,86.50910388976642,0.7133158250328295
DE,RF,MGT,1389.1029748655274,304.33728410654146,0.3290668416633728
US,RF,MGT,8458.571039073126,1507.0408318596342,0.338438736862595
GB,RF,MGT,1116.095678166795,203.700260254027,0.444886170027244
CN,RF,MGT,2549.6169310650594,773.9549168001265,0.4129879844659273
JP,RF,MGT,780.3561690014476,302.47315589065585,0.1906625251890263
CA,SVR,MGT,108756.68609143718,105876.69967995257,378.1380457909159
KR,SVR,MGT,53840.06217276528,50048.90586888009,77.10171535923386
CH,SVR,MGT,31524.889143179433,19382.047153729156,156.96947094439136
DE,SVR,MGT,83668.0863966035,80916.47622591184,78.71314070293623
US,SVR,MGT,145151.05158185732,130731.93340838815,26.589240146189592
GB,SVR,MGT,113178.2996898372,108788.87438176195,218.31359208799927
CN,SVR,MGT,235514.27171228407,212107.7743632031,85.47197366092566
JP,SVR,MGT,152687.41658168286,151029.91375935153,92.3039741368784
CA,XGBoost,MGT,266.7767149014722,199.1327178396618,0.7121697138609517
KR,XGBoost,MGT,585.1878134478352,383.2421160141401,0.7084741634737607
CH,XGBoost,MGT,388.99153551838657,370.1898210469472,2.6270701874549043
DE,XGBoost,MGT,923.170513542432,548.1263636282015,0.5481977567518527
US,XGBoost,MGT,305.8386433791269,234.69953763896984,0.0448861540381112
GB,XGBoost,MGT,465.73276792280535,399.78982636817193,0.8363011860650468
CN,XGBoost,MGT,903.3094290275332,407.594870120048,0.2887977546326207
JP,XGBoost,MGT,919.787064570797,659.6124983015449,0.3997633194382654
