Model,rank,topic,elasticity,abs_elasticity
OLS,1,Business_loan,0.0724913040427153,0.0724913040427153
OLS,2,Patent_infringement,-0.034458580297707486,0.034458580297707486
OLS,3,Law,-0.02269745550312417,0.02269745550312417
OLS,4,Scholarship,0.02228955490846431,0.02228955490846431
OLS,5,Patent,0.02076549960511278,0.02076549960511278
OLS,6,Investor,-0.019443373826753863,0.019443373826753863
OLS,7,Tax_deduction,-0.017266384903485962,0.017266384903485962
OLS,8,Investment_management,-0.017208938577985212,0.017208938577985212
OLS,9,Patent_application,0.01680379579302491,0.01680379579302491
OLS,10,Wage,-0.016504787658083508,0.016504787658083508
OLS,11,Employment,0.01634663316061458,0.01634663316061458
OLS,12,Job,-0.015316952895110375,0.015316952895110375
OLS,13,Innovation_management,-0.014804169897410015,0.014804169897410015
OLS,14,Business_model,-0.014253225573209688,0.014253225573209688
OLS,15,Subsidy,0.013873741951503643,0.013873741951503643
OLS,16,Credit,0.013362726873275048,0.013362726873275048
OLS,17,Health,-0.012655940685257773,0.012655940685257773
OLS,18,Small_Business_Innovation_Research,-0.012161936540105852,0.012161936540105852
OLS,19,Laboratory,0.011879154977684324,0.011879154977684324
OLS,20,Law_firm,-0.011621093973313646,0.011621093973313646
Ridge,1,Business_loan,0.03752119228025296,0.03752119228025296
Ridge,2,Subsidy,0.02300122349604929,0.02300122349604929
Ridge,3,Trademark_attorney,0.016751933675458134,0.016751933675458134
Ridge,4,Research_&_Experimentation_Tax_Credit,0.015906705994292888,0.015906705994292888
Ridge,5,Job,-0.011869937440218074,0.011869937440218074
Ridge,6,Scholarship,0.00971686156200025,0.00971686156200025
Ridge,7,Laboratory,0.009477532687866103,0.009477532687866103
Ridge,8,Law_firm,-0.009347230010796508,0.009347230010796508
Ridge,9,Tax_credit,0.009233250722679972,0.009233250722679972
Ridge,10,Patent_infringement,0.009105545258682667,0.009105545258682667
Ridge,11,Patent,0.008906682308812516,0.008906682308812516
Ridge,12,Wage,-0.008645430355072111,0.008645430355072111
Ridge,13,Education,-0.007947171819666058,0.007947171819666058
Ridge,14,Investor,-0.007554935712196735,0.007554935712196735
Ridge,15,Innovation_management,0.00730827108584204,0.00730827108584204
Ridge,16,Tax_deduction,-0.006843029167562145,0.006843029167562145
Ridge,17,Patent_application,0.0066211605705018784,0.0066211605705018784
Ridge,18,Investment_management,-0.006158850580528113,0.006158850580528113
Ridge,19,Law,-0.006132574951016272,0.006132574951016272
Ridge,20,Disease,0.005680359242999557,0.005680359242999557
Elastic Net,1,Business_loan,0.026912976431406815,0.026912976431406815
Elastic Net,2,Innovation_management,0.02635100663348358,0.02635100663348358
Elastic Net,3,Patent,0.021762153679159627,0.021762153679159627
Elastic Net,4,Job,-0.021650140864514472,0.021650140864514472
Elastic Net,5,Subsidy,0.01724032744816201,0.01724032744816201
Elastic Net,6,Law_firm,-0.016136413086649665,0.016136413086649665
Elastic Net,7,Investor,-0.014799149814477221,0.014799149814477221
Elastic Net,8,Disease,0.01368980932647335,0.01368980932647335
Elastic Net,9,Scholarship,0.011808871064279457,0.011808871064279457
Elastic Net,10,Patent_infringement,-0.010308183077455936,0.010308183077455936
Elastic Net,11,Small_Business_Innovation_Research,-0.00894976117752863,0.00894976117752863
Elastic Net,12,Tax_deduction,-0.008619174954369707,0.008619174954369707
Elastic Net,13,Tax_report,-0.008416280151942072,0.008416280151942072
Elastic Net,14,Tax_incentive,0.008097433198805924,0.008097433198805924
Elastic Net,15,Investment_management,-0.008000924563213444,0.008000924563213444
Elastic Net,16,Law,-0.0075902341901444535,0.0075902341901444535
Elastic Net,17,Research_&_Experimentation_Tax_Credit,-0.006521590981932849,0.006521590981932849
Elastic Net,18,Data,0.006425747743512139,0.006425747743512139
Elastic Net,19,Career,0.006265659860341275,0.006265659860341275
Elastic Net,20,Capitalization,0.00605312018235619,0.00605312018235619
