Model,Variant,N,min_estimate,negative_months,NN_level_corr,NN_growth_corr,Mosley_level_corr,Mosley_growth_corr,Sax_level_corr,Sax_growth_corr,employment_sig_lags_p01,employment_best_abs_corr,employment_best_lag,tuning,val_MAPE,negative_topic_elasticity_share
OLS,signed,216,0.7545887495669862,0,0.34986928536308654,0.06368504939059556,0.3506325710056596,0.18737484327636586,0.3170748798132449,0.018522978706386483,0,0.1735791689925876,5,,,0.43859649122807015
OLS,positive_part,216,25.93337648101295,0,0.8833963938506065,0.44884410818868725,0.9192400769362552,0.6902562982927233,0.7502636711249154,-0.10218438138376075,4,-0.35228284989930386,0,,,0.43859649122807015
OLS,absolute,216,26.17931985800097,0,0.8999824145119021,0.5016717096881038,0.9388686748568114,0.7066031271997489,0.7605674857883867,-0.13474404680598498,4,-0.40958727235338616,-5,,,0.43859649122807015
Ridge,signed,216,23.404873400819508,0,0.9578856523060166,0.9340747710918608,0.8416267140367427,0.3714845793403598,0.7028709023261204,-0.14563908285599297,2,-0.28254186445992374,0,alpha=10,20.8058156804494,0.42105263157894735
Ridge,positive_part,216,26.09499961745503,0,0.9571654759593025,0.8317652004067475,0.9251395331964413,0.6334415731328785,0.7434532477415386,-0.18617146329833695,5,-0.40175371521127495,0,alpha=10,20.8058156804494,0.42105263157894735
Ridge,absolute,216,26.113211354777853,0,0.9298740056147575,0.7032706346363498,0.9310442658708006,0.7009390789558667,0.7380013883008946,-0.17877464512297328,6,-0.41235145898660874,0,alpha=10,20.8058156804494,0.42105263157894735
Elastic Net,signed,216,-7.367186008100098,3,0.2068474105389353,-0.17793696918541246,0.24421072508903005,0.011780714448543166,0.24863802528179257,-0.05981463884304984,0,-0.1279178093522223,5,"alpha=0.0001, l1=0.5",20.754952561863085,0.42105263157894735
Elastic Net,positive_part,216,23.407969125406098,0,0.8773573423422086,0.33912470746999485,0.9222448311783032,0.5771699202822425,0.7542061220688037,-0.15517058928604954,5,-0.39671269624532435,-5,"alpha=0.0001, l1=0.5",20.754952561863085,0.42105263157894735
Elastic Net,absolute,216,25.11103865350204,0,0.8953523038383489,0.4760156738592651,0.9348530727425438,0.6808519437355716,0.7537576186368654,-0.150103052926977,6,-0.43677071710962595,-5,"alpha=0.0001, l1=0.5",20.754952561863085,0.42105263157894735
