Year,Month,weight,annual_weight,estimate,date,Model,Variant
2004,1,0.0012384733071449496,0.038951573514837926,11.919928256229651,2004-01-01,OLS,signed
2004,2,0.0028477186249386837,0.038951573514837926,27.408424152031586,2004-02-01,OLS,signed
2004,3,0.0043147332459452375,0.038951573514837926,41.527992924611866,2004-03-01,OLS,signed
2004,4,0.0041016290092750615,0.038951573514837926,39.47692957302218,2004-04-01,OLS,signed
2004,5,0.005140180254001883,0.038951573514837926,49.4726688886317,2004-05-01,OLS,signed
2004,6,0.002419085763383135,0.038951573514837926,23.28296345091809,2004-06-01,OLS,signed
2004,7,0.0031488926066182334,0.038951573514837926,30.30713196717151,2004-07-01,OLS,signed
2004,8,0.002972975543073148,0.038951573514837926,28.613983827113465,2004-08-01,OLS,signed
2004,9,0.004396479775909082,0.038951573514837926,42.31477836983964,2004-09-01,OLS,signed
2004,10,0.0036328753305687354,0.038951573514837926,34.96531823042166,2004-10-01,OLS,signed
2004,11,0.002370420406029302,0.038951573514837926,22.814574213237428,2004-11-01,OLS,signed
2004,12,0.0023681096479504756,0.038951573514837926,22.792333870746226,2004-12-01,OLS,signed
2005,1,0.0026003641873725775,0.03895157351483791,26.056431817832046,2005-01-01,OLS,signed
2005,2,0.001457773217854292,0.03895157351483791,14.607326405022368,2005-02-01,OLS,signed
2005,3,0.002786300070333562,0.03895157351483791,27.919565328279493,2005-03-01,OLS,signed
2005,4,0.0021123246144448414,0.03895157351483791,21.166128406430154,2005-04-01,OLS,signed
2005,5,0.005269705122799243,0.03895157351483791,52.80403141186052,2005-05-01,OLS,signed
2005,6,0.004571834771171767,0.03895157351483791,45.8111604427979,2005-06-01,OLS,signed
2005,7,0.004544725541881213,0.03895157351483791,45.53951780594209,2005-07-01,OLS,signed
2005,8,0.0035619234547801222,0.03895157351483791,35.69154508837925,2005-08-01,OLS,signed
2005,9,0.0032683184559627806,0.03895157351483791,32.74953463068693,2005-09-01,OLS,signed
2005,10,0.0024034877183324904,0.03895157351483791,24.083670341962844,2005-10-01,OLS,signed
2005,11,0.0033995037014618304,0.03895157351483791,34.06405027486112,2005-11-01,OLS,signed
2005,12,0.0029753126584431936,0.03895157351483791,29.81352835034635,2005-12-01,OLS,signed
2006,1,0.0028599328877755162,0.038951573514837926,29.967297885882463,2006-01-01,OLS,signed
2006,2,0.0020277817321620473,0.038951573514837926,21.247750069588548,2006-02-01,OLS,signed
2006,3,0.0036246257693384456,0.038951573514837926,37.97999618064359,2006-03-01,OLS,signed
2006,4,0.0040222889583097984,0.038951573514837926,42.14683914856497,2006-04-01,OLS,signed
2006,5,0.003048643370813788,0.038951573514837926,31.944667104429154,2006-05-01,OLS,signed
2006,6,0.003628078387575223,0.038951573514837926,38.01617382650025,2006-06-01,OLS,signed
2006,7,0.004333213450551029,0.038951573514837926,45.404806116544066,2006-07-01,OLS,signed
2006,8,0.0032982060040889854,0.038951573514837926,34.55966475158027,2006-08-01,OLS,signed
2006,9,0.004311392154371839,0.038951573514837926,45.17615554727617,2006-09-01,OLS,signed
2006,10,0.0034044655679770506,0.038951573514837926,35.673086684615356,2006-10-01,OLS,signed
2006,11,0.0014926950918176885,0.038951573514837926,15.640939918729478,2006-11-01,OLS,signed
2006,12,0.0029002501400565185,0.038951573514837926,30.389755040107794,2006-12-01,OLS,signed
2007,1,0.002920164121384749,0.03895157351483792,32.068381977669084,2007-01-01,OLS,signed
2007,2,0.001991796534654029,0.03895157351483792,21.87332267639599,2007-02-01,OLS,signed
2007,3,0.003122057060995404,0.03895157351483792,34.28551075430743,2007-03-01,OLS,signed
2007,4,0.0026795326813628616,0.03895157351483792,29.425838403508877,2007-04-01,OLS,signed
2007,5,0.003066214843802785,0.03895157351483792,33.67226797856794,2007-05-01,OLS,signed
2007,6,0.0037710151602574336,0.03895157351483792,41.41217739000605,2007-06-01,OLS,signed
2007,7,0.0036967218948805373,0.03895157351483792,40.596310639562965,2007-07-01,OLS,signed
2007,8,0.003935953343233022,0.03895157351483792,43.22347991770632,2007-08-01,OLS,signed
2007,9,0.0040693439669983586,0.03895157351483792,44.68833644539967,2007-09-01,OLS,signed
2007,10,0.0033754367129102025,0.03895157351483792,37.068051435315276,2007-10-01,OLS,signed
2007,11,0.0031475220190077882,0.03895157351483792,34.56515942014995,2007-11-01,OLS,signed
2007,12,0.003175815175350749,0.03895157351483792,34.87586652675248,2007-12-01,OLS,signed
2008,1,0.004748886481399727,0.038951573514837926,54.80328266218046,2008-01-01,OLS,signed
2008,2,0.0027393209599367403,0.038951573514837926,31.612417238830258,2008-02-01,OLS,signed
2008,3,0.00388882880137515,0.038951573514837926,44.87801190054427,2008-03-01,OLS,signed
2008,4,0.0037026851263446472,0.038951573514837926,42.72986949317578,2008-04-01,OLS,signed
2008,5,0.0047364039633850585,0.038951573514837926,54.65923142705976,2008-05-01,OLS,signed
2008,6,0.0036414412849641144,0.038951573514837926,42.02310095624798,2008-06-01,OLS,signed
2008,7,0.003535211190201567,0.038951573514837926,40.79718032552654,2008-07-01,OLS,signed
2008,8,0.004212433225022829,0.038951573514837926,48.612484133005076,2008-08-01,OLS,signed
2008,9,0.002217758222525042,0.038951573514837926,25.593458850082037,2008-09-01,OLS,signed
2008,10,0.0019767400603739587,0.038951573514837926,22.812051773113573,2008-10-01,OLS,signed
2008,11,0.0014860810059324767,0.038951573514837926,17.149729256743587,2008-11-01,OLS,signed
2008,12,0.002065783193376614,0.038951573514837926,23.83963076582774,2008-12-01,OLS,signed
2009,1,0.0018528792097307996,0.038951573514837905,21.183390559379376,2009-01-01,OLS,signed
2009,2,0.0016891603980888918,0.038951573514837905,19.311644408462247,2009-02-01,OLS,signed
2009,3,0.0042078397249085565,0.038951573514837905,48.10692021146906,2009-03-01,OLS,signed
2009,4,0.004314359959537141,0.038951573514837905,49.32473285719564,2009-04-01,OLS,signed
2009,5,0.0036404066583988863,0.038951573514837905,41.61963480125227,2009-05-01,OLS,signed
2009,6,0.003749116925722728,0.038951573514837905,42.86248540826515,2009-06-01,OLS,signed
2009,7,0.0034395136943724917,0.038951573514837905,39.322888151360964,2009-07-01,OLS,signed
2009,8,0.0037652668014076796,0.038951573514837905,43.04712190390021,2009-08-01,OLS,signed
2009,9,0.002702404038532364,0.038951573514837905,30.895743174641336,2009-09-01,OLS,signed
2009,10,0.0039931965313955795,0.038951573514837905,45.65297147308452,2009-10-01,OLS,signed
2009,11,0.00350035521414118,0.038951573514837905,40.018470285759015,2009-11-01,OLS,signed
2009,12,0.0020970743586016085,0.038951573514837905,23.975197593572226,2009-12-01,OLS,signed
2010,1,0.004836928408863962,0.038951573514837926,55.223021288014884,2010-01-01,OLS,signed
2010,2,0.003965726403737095,0.038951573514837926,45.27654228139634,2010-02-01,OLS,signed
2010,3,0.0044824386562204825,0.038951573514837926,51.17582573293083,2010-03-01,OLS,signed
2010,4,0.004035740937676891,0.038951573514837926,46.0758954599843,2010-04-01,OLS,signed
2010,5,0.002796397762623519,0.038951573514837926,31.92636320440917,2010-05-01,OLS,signed
2010,6,0.0037704562225578508,0.038951573514837926,43.0471503076771,2010-06-01,OLS,signed
2010,7,0.0032247018686118257,0.038951573514837926,36.816294326687576,2010-07-01,OLS,signed
2010,8,0.0037301630107117578,0.038951573514837926,42.5871242937585,2010-08-01,OLS,signed
2010,9,0.0022959389255419833,0.038951573514837926,26.212644356868932,2010-09-01,OLS,signed
2010,10,0.0015587002966360192,0.038951573514837926,17.795619944472676,2010-10-01,OLS,signed
2010,11,0.002771973838961684,0.038951573514837926,31.647516229158786,2010-11-01,OLS,signed
2010,12,0.0014824071826948523,0.038951573514837926,16.924584465100853,2010-12-01,OLS,signed
2011,1,0.0031604189833332754,0.038951573514837905,36.96004690306512,2011-01-01,OLS,signed
2011,2,0.0021116196025167044,0.038951573514837905,24.69468762275783,2011-02-01,OLS,signed
2011,3,0.003187160579872777,0.038951573514837905,37.27278096382576,2011-03-01,OLS,signed
2011,4,0.0030158680438526026,0.038951573514837905,35.26957183274613,2011-04-01,OLS,signed
2011,5,0.00318961369933091,0.038951573514837905,37.30146937846621,2011-05-01,OLS,signed
2011,6,0.002589660697574059,0.038951573514837905,30.285218937779124,2011-06-01,OLS,signed
2011,7,0.0026459812843853603,0.038951573514837905,30.94386943353028,2011-07-01,OLS,signed
2011,8,0.0036695411340859517,0.038951573514837905,42.91406080769049,2011-08-01,OLS,signed
2011,9,0.004607596437612395,0.038951573514837905,53.884305005958,2011-09-01,OLS,signed
2011,10,0.003512455819527886,0.038951573514837905,41.07700039751493,2011-10-01,OLS,signed
2011,11,0.0039042908414937665,0.038951573514837905,45.65938041310646,2011-11-01,OLS,signed
2011,12,0.003357366391252219,0.038951573514837905,39.26328121234772,2011-12-01,OLS,signed
2012,1,0.003881186353830274,0.038951573514837926,45.31890746783917,2012-01-01,OLS,signed
2012,2,0.0035325416042607106,0.038951573514837926,41.24793593891527,2012-02-01,OLS,signed
2012,3,0.0038778181160292395,0.038951573514837926,45.27957803520728,2012-03-01,OLS,signed
2012,4,0.003465774099307614,0.038951573514837926,40.468321124532096,2012-04-01,OLS,signed
2012,5,0.0037426459228116,0.038951573514837926,43.701231736372755,2012-05-01,OLS,signed
2012,6,0.0026937739923214897,0.038951573514837926,31.45401513040254,2012-06-01,OLS,signed
2012,7,0.003185562659774181,0.038951573514837926,37.19641528390856,2012-07-01,OLS,signed
2012,8,0.002343495491585097,0.038951573514837926,27.363967007054885,2012-08-01,OLS,signed
2012,9,0.0032123568911156357,0.038951573514837926,37.509279748568154,2012-09-01,OLS,signed
2012,10,0.003492449095592075,0.038951573514837926,40.779793333828984,2012-10-01,OLS,signed
2012,11,0.0027508143043140695,0.038951573514837926,32.120049787196926,2012-11-01,OLS,signed
2012,12,0.0027731549838959364,0.038951573514837926,32.38091208507141,2012-12-01,OLS,signed
2013,1,0.0021797436251697715,0.03895157351483791,26.204956619057334,2013-01-01,OLS,signed
2013,2,0.0026059685198706445,0.03895157351483791,31.32904770326855,2013-02-01,OLS,signed
2013,3,0.0026535541740350214,0.03895157351483791,31.90112415697069,2013-03-01,OLS,signed
2013,4,0.0033873438971922165,0.03895157351483791,40.72277072164258,2013-04-01,OLS,signed
2013,5,0.0033356953382965666,0.03895157351483791,40.1018498804625,2013-05-01,OLS,signed
2013,6,0.0034028778893520975,0.03895157351483791,40.90952093665411,2013-06-01,OLS,signed
2013,7,0.003253800814004886,0.03895157351483791,39.117310950461196,2013-07-01,OLS,signed
2013,8,0.00429008983020762,0.03895157351483791,51.57561494586028,2013-08-01,OLS,signed
2013,9,0.0037486823256437977,0.03895157351483791,45.06679436416364,2013-09-01,OLS,signed
2013,10,0.0037753944743919216,0.03895157351483791,45.38792878156187,2013-10-01,OLS,signed
2013,11,0.003542444587890198,0.03895157351483791,42.58739682922433,2013-11-01,OLS,signed
2013,12,0.002775978038783171,0.03895157351483791,33.37290828232292,2013-12-01,OLS,signed
2014,1,0.003740205710416708,0.038951573514837926,46.26101717188402,2014-01-01,OLS,signed
2014,2,0.003021093985881784,0.038951573514837926,37.366629426161104,2014-02-01,OLS,signed
