Country,Models,RMSE,MAE,MAPE
0,"['Model_1', 'Model_2', 'Ensemble']","[278.5574035644531, 390.6558532714844, 278.46002197265625]","[170.54893493652344, 322.2474670410156, 163.4146270751953]","[0.5974759459495544, 1.1583917140960693, 0.577974796295166]"
1,"['Model_1', 'Model_2', 'Ensemble']","[129.4252471923828, 355.5396423339844, 215.48809814453125]","[100.860595703125, 307.8466796875, 198.4466552734375]","[0.6191202998161316, 2.2723045349121094, 1.4013001918792725]"
2,"['Model_1', 'Model_2', 'Ensemble']","[5049.61865234375, 7260.2197265625, 6115.97412109375]","[4119.259765625, 6497.5498046875, 5308.40283203125]","[1.8920693397521973, 2.80423903465271, 2.3481531143188477]"
3,"['Model_1', 'Model_2', 'Ensemble']","[1205.4449462890625, 1490.9345703125, 1294.562255859375]","[499.8992919921875, 1133.7696533203125, 773.18212890625]","[0.45784270763397217, 1.0846022367477417, 0.7370509505271912]"
4,"['Model_1', 'Model_2', 'Ensemble']","[2618.79833984375, 3003.06591796875, 2783.41455078125]","[755.3055419921875, 1042.057373046875, 712.4197998046875]","[1.3430538177490234, 1.8369051218032837, 1.1813404560089111]"
5,"['Model_1', 'Model_2', 'Ensemble']","[1577.743408203125, 2136.258056640625, 1775.385498046875]","[633.2553100585938, 1698.813232421875, 1147.0550537109375]","[0.3861877918243408, 1.032076120376587, 0.6977550983428955]"
6,"['Model_1', 'Model_2', 'Ensemble']","[1597.0760498046875, 1816.956787109375, 1671.13671875]","[732.4534301757812, 1360.2103271484375, 1043.7879638671875]","[1.2272800207138062, 2.393540859222412, 1.8029253482818604]"
7,"['Model_1', 'Model_2', 'Ensemble']","[7657.24462890625, 8186.91943359375, 7807.59228515625]","[2780.95458984375, 5150.21240234375, 3931.684326171875]","[0.4858793616294861, 0.9753043055534363, 0.7215496301651001]"
