Model,Train_RMSE,Validation_RMSE,Test_RMSE,Train_MAE,Validation_MAE,Test_MAE,Train_MAPE,Validation_MAPE,Test_MAPE
Model_1,3474.57470703125,4486.61767578125,3754.54052734375,1232.0877685546875,1419.5921630859375,1273.0711669921875,0.9272129535675049,0.9881014227867126,0.8391650319099426
Model_2,4013.88037109375,4942.86474609375,4363.23291015625,2170.10107421875,2352.462158203125,2313.708251953125,1.5494621992111206,1.7052934169769287,1.5509631633758545
Ensemble,,4656.72802734375,3994.70849609375,,1831.573486328125,1742.6395263671875,,1.2415045499801636,1.0940018892288208
