Series,monthly_level_min,monthly_level_max,quarterly_level_min,quarterly_level_max,monthly_growth_sd,quarterly_growth_sd,monthly_abs_growth_mean,quarterly_abs_growth_mean
NN,21.33603663550093,72.18108034032959,86.17688154691086,196.0826510140214,0.1832826299838442,0.12067172954598301,0.1254627387995772,0.09733164793253059
Ridge_signed,23.404873400834983,73.48488399614371,86.91130361931627,198.28327526236214,0.14887442156472225,0.09516097621336482,0.10938090057447206,0.07576190167133491
Ridge_positive,26.094999617454462,68.76139425487112,88.16918061342959,188.01903788470923,0.11566163453634941,0.11023726201950591,0.08555580901725891,0.08842033612767816
Mosley,28.0724778408197,68.0164089378144,90.18325864612831,196.2679573462649,0.07973200581314745,0.08009947771404356,0.05868797839090647,0.06240297688722616
Sax,27.5393104116167,66.4385154023582,86.8199801047799,183.5739180762621,0.09305108936736697,0.08425817159784318,0.07286508780948195,0.06882961376464172
