Series,NN_level_corr,NN_growth_corr,Mosley_level_corr,Mosley_growth_corr
Ridge_signed,0.9650209219397143,0.8620251966029394,0.9194181142384928,0.3994489635505497
Ridge_positive,0.9796016506923736,0.8797841522767489,0.9649350767558634,0.7663976664496639
Mosley,0.9473395522425312,0.6586682737115318,1.0,1.0
Sax,0.920798472433317,0.4276045256025204,0.9566165963979921,0.5660658942225006
