Iteration,Training_Loss
390,32945208.0
391,8510874.0
392,19761348.0
393,13216443.0
394,22676838.0
395,15989331.0
396,36538812.0
397,6599853.5
398,19830240.0
399,1155815.4
400,8036052.5
401,42576144.0
402,39951116.0
403,16592859.0
404,23639880.0
405,11336457.0
406,32598834.0
407,8562281.0
408,19671196.0
409,13724493.0
410,22643224.0
411,16162888.0
412,35732004.0
413,8174253.0
414,20040596.0
415,1125932.0
416,8490435.0
417,43834856.0
418,42965076.0
419,16956888.0
420,24016278.0
421,13389847.0
422,32138680.0
423,8659800.0
424,19688204.0
425,14695144.0
426,22816552.0
427,15581104.0
428,35272040.0
429,8821902.0
430,19964638.0
431,1072595.0
432,8843127.0
433,44284040.0
434,43709060.0
435,16660685.0
436,24594148.0
437,14450820.0
438,32079994.0
439,8572372.0
440,19911544.0
441,15389186.0
442,22418494.0
443,15409879.0
444,34743892.0
445,9780662.0
446,19853790.0
447,1010690.7
448,9517249.0
449,45080140.0
450,44609130.0
451,16228799.0
452,25677028.0
453,15777523.0
454,32063586.0
455,8504741.0
456,20456874.0
457,16222038.0
458,21900096.0
459,15512789.0
460,34280290.0
461,10746651.0
462,19656232.0
463,1007776.56
464,10416164.0
465,45878148.0
466,45062980.0
467,15652361.0
468,27245172.0
469,16927580.0
470,32174918.0
471,8556793.0
472,21373098.0
473,16936820.0
474,21253372.0
475,16088016.0
476,33929540.0
477,11329123.0
478,19338604.0
479,1113917.0
480,11356533.0
481,46296530.0
482,44442572.0
483,14946511.0
484,29135378.0
485,17416850.0
486,32553348.0
487,8859732.0
488,22576060.0
489,17191930.0
490,20573640.0
491,17235870.0
492,33692800.0
493,11140791.0
494,19027962.0
495,1348367.5
496,12017810.0
497,45957470.0
498,42356620.0
499,14223367.0
500,30896534.0
501,16820658.0
502,33417712.0
503,9520645.0
504,23749498.0
505,16705384.0
506,20066174.0
507,18781366.0
508,33534798.0
509,9998377.0
510,19037998.0
511,1656373.6
512,12030635.0
513,44641416.0
514,38979660.0
515,13658529.0
516,31822334.0
517,15010755.0
518,34978444.0
519,10476460.0
520,24375622.0
521,15488660.0
522,19914588.0
523,20147802.0
524,33424582.0
525,8155084.5
526,19684310.0
527,1896119.0
528,11237018.0
529,42513290.0
530,35167156.0
531,13367769.0
532,31331792.0
533,12381965.0
534,37170024.0
535,11405044.0
536,24036114.0
537,13985748.0
538,20079834.0
539,20608812.0
540,33387948.0
541,6267228.5
542,20903208.0
543,1927106.9
544,9924490.0
545,40145150.0
546,32022988.0
547,13302994.0
548,29531972.0
549,9729554.0
550,39451480.0
551,11897831.0
552,22825446.0
553,12820375.0
554,20270622.0
555,19912708.0
556,33486136.0
557,4937051.5
558,22106464.0
559,1747070.5
560,8680952.0
561,38172144.0
562,30125754.0
563,13316634.0
564,27285854.0
565,7749729.5
566,41065510.0
567,11825668.0
568,21367268.0
569,12284500.0
570,20230916.0
571,18601298.0
572,33703660.0
573,4282325.0
574,22676772.0
575,1505601.4
576,7908010.5
577,36875948.0
578,29268274.0
579,13323169.0
580,25501098.0
581,6632593.0
582,41692424.0
583,11455961.0
584,20257568.0
585,12181534.0
586,19995976.0
587,17449762.0
588,33916130.0
589,4045824.2
590,22589798.0
591,1342492.2
592,7571169.5
593,36142804.0
594,28955010.0
595,13325972.0
596,24464574.0
597,6145928.0
598,41698390.0
599,11131362.0
600,19623916.0
601,12211832.0
602,19746292.0
603,16761957.0
604,34032400.0
605,3971073.5
606,22280712.0
607,1274410.2
608,7446864.5
609,35711376.0
610,28832902.0
611,13332646.0
612,23937926.0
613,5945201.0
614,41620610.0
615,10962972.0
616,19276222.0
617,12259456.0
618,19561158.0
619,16389544.0
620,34084210.0
621,3935883.0
622,22039072.0
623,1256209.1
624,7393099.5
625,35382980.0
626,28742418.0
627,13338146.0
628,23603606.0
629,5808691.0
630,41637476.0
631,10873936.0
632,19032122.0
633,12319371.0
634,19413504.0
635,16125563.0
636,34130000.0
637,3911523.5
638,21830422.0
639,1259513.9
640,7369572.0
641,35101960.0
642,28671500.0
643,13344310.0
644,23337152.0
645,5703865.0
646,41662040.0
647,10798129.0
648,18836844.0
649,12387322.0
650,19276462.0
651,15908399.0
652,34173204.0
653,3900834.8
654,21580354.0
655,1278633.0
656,7366511.5
657,34879970.0
658,28639408.0
659,13351041.0
660,23155538.0
661,5650757.5
662,41681972.0
663,10745743.0
664,18690760.0
665,12454188.0
666,19155110.0
667,15746706.0
668,34203456.0
669,3899282.5
670,21324290.0
671,1310243.1
672,7373868.5
673,34702970.0
674,28632196.0
675,13356694.0
676,23046578.0
677,5626634.0
678,41751320.0
679,10722248.0
680,18579130.0
681,12525856.0
682,19050090.0
683,15624593.0
684,34229370.0
685,3901619.8
686,21077720.0
687,1351419.2
688,7386869.0
689,34554930.0
690,28641050.0
691,13361158.0
692,22985430.0
693,5615700.5
694,41873924.0
695,10716852.0
696,18489584.0
697,12605833.0
698,18955858.0
699,15528696.0
700,34253944.0
701,3908214.0
702,20826054.0
703,1400603.0
704,7401784.0
705,34435370.0
706,28670622.0
707,13364022.0
708,22975158.0
709,5617598.0
710,42061932.0
711,10732107.0
712,18418150.0
713,12697496.0
714,18871312.0
715,15456564.0
716,34277630.0
717,3918319.2
718,20573758.0
719,1456750.8
720,7416153.0
721,34339704.0
722,28718604.0
723,13364861.0
724,23013352.0
725,5623787.5
726,42333468.0
727,10767690.0
728,18360504.0
729,12807895.0
730,18794238.0
731,15404878.0
732,34302804.0
733,3932442.8
734,20315596.0
735,1519286.0
736,7427873.0
737,34267444.0
738,28787930.0
739,13363087.0
740,23106078.0
741,5629897.5
742,42709640.0
743,10825227.0
744,18314844.0
745,12945265.0
746,18723122.0
747,15374732.0
748,34330252.0
749,3952050.2
750,20046574.0
751,1587519.0
752,7434341.5
753,34220080.0
754,28881396.0
755,13358053.0
756,23264980.0
757,5629748.0
758,43223610.0
759,10909200.0
760,18280132.0
761,13122704.0
762,18656456.0
763,15370406.0
764,34361310.0
765,3979471.8
766,19760392.0
767,1660514.5
768,7433000.0
769,34201908.0
770,29002896.0
771,13348990.0
772,23508938.0
773,5614993.5
774,43920300.0
775,11024675.0
776,18258404.0
777,13358944.0
778,18593488.0
779,15402266.0
780,34396988.0
781,4019943.2
782,19449090.0
783,1736230.0
784,7419856.0
785,34220920.0
786,29157642.0
787,13335311.0
788,23870106.0
789,5574278.0
790,44874676.0
791,11182176.0
792,18253960.0
793,13684958.0
794,18534362.0
795,15491807.0
796,34436628.0
797,4082563.0
798,19105404.0
799,1811232.0
800,7392556.5
801,34290676.0
802,29351868.0
803,13318268.0
804,24399174.0
805,5490637.5
806,46197664.0
807,11395585.0
808,18277684.0
809,14148679.0
810,18480342.0
811,15679526.0
812,34477496.0
813,4187356.5
814,18721598.0
815,1877869.1
816,7352431.0
817,34434944.0
818,29588380.0
819,13303238.0
820,25178548.0
821,5338976.0
822,48072790.0
823,11685216.0
824,18353960.0
825,14829821.0
826,18439132.0
827,16045242.0
828,34510920.0
829,4377094.5
830,18299350.0
831,1921440.0
832,7316445.5
833,34696276.0
834,29860484.0
835,13306582.0
836,21379958.0
837,26785002.0
838,32209548.0
839,12114208.0
840,25502696.0
841,12764605.0
842,22042774.0
843,23057056.0
844,34022380.0
845,6531322.0
846,31677248.0
847,3003491.2
848,15525965.0
849,32642028.0
850,27786492.0
851,15423922.0
852,21828118.0
853,6663839.5
854,33901684.0
855,10105868.0
856,18561264.0
857,12397939.0
858,19398482.0
859,15324118.0
860,45408600.0
861,18114228.0
862,18611152.0
863,2684551.0
864,18583120.0
865,42494732.0
866,29277988.0
867,18629504.0
868,45175396.0
869,3683813.0
870,93851600.0
871,18001820.0
872,24218398.0
873,36172596.0
874,20368614.0
875,35129796.0
876,35953556.0
877,10389589.0
878,20255676.0
879,1647806.4
880,12743005.0
881,41999492.0
882,32872630.0
883,16108978.0
884,47750950.0
885,3521642.0
886,89568090.0
887,18267856.0
888,23224888.0
889,34013216.0
890,20287380.0
891,33359114.0
892,35025776.0
893,12161823.0
894,19762534.0
895,1732529.9
896,14405214.0
897,41399836.0
898,31060840.0
899,17417328.0
900,45749564.0
901,3695294.0
902,93362010.0
903,16725877.0
904,26785672.0
905,33315204.0
906,22810166.0
907,37179090.0
908,33575388.0
909,19832510.0
910,20674898.0
911,2631492.0
912,21836044.0
913,43045390.0
914,29149830.0
915,21282262.0
916,47370010.0
917,5338692.0
918,107011090.0
919,15880344.0
920,35038932.0
921,35738064.0
922,28891420.0
923,46569310.0
924,32436942.0
925,36633216.0
926,23339164.0
927,6256773.0
928,38917180.0
929,46742508.0
930,27869072.0
931,29292692.0
932,49691830.0
933,10118950.0
934,127840520.0
935,14849763.0
936,49924560.0
937,38394300.0
938,40137420.0
939,59996376.0
940,31661428.0
941,65330300.0
942,26635786.0
943,14752761.0
944,67135150.0
945,51452696.0
946,28857708.0
947,41372772.0
948,49756190.0
949,18582732.0
950,149229840.0
951,13408284.0
952,70501150.0
953,38522612.0
954,55758780.0
955,72925490.0
