Country,Models,RMSE,MAE,MAPE
0,"['Model_1', 'Model_2', 'Ensemble']","[325.7967834472656, 352.9971618652344, 333.8904113769531]","[219.7320098876953, 278.28021240234375, 249.0062713623047]","[0.7714466452598572, 0.9923269152641296, 0.8818874359130859]"
1,"['Model_1', 'Model_2', 'Ensemble']","[113.72314453125, 174.91102600097656, 115.98967742919922]","[108.3779296875, 139.4476318359375, 103.088134765625]","[0.731966495513916, 1.06754732131958, 0.7589467167854309]"
2,"['Model_1', 'Model_2', 'Ensemble']","[7530.60986328125, 7543.36669921875, 7508.94091796875]","[5916.73583984375, 6570.40185546875, 6243.568359375]","[2.4687447547912598, 2.753573179244995, 2.611159324645996]"
3,"['Model_1', 'Model_2', 'Ensemble']","[1389.3985595703125, 1424.331787109375, 1400.0726318359375]","[818.6016845703125, 974.7332153320312, 894.8848266601562]","[0.730370283126831, 0.9030256271362305, 0.8145337104797363]"
4,"['Model_1', 'Model_2', 'Ensemble']","[3115.91162109375, 3099.275146484375, 3106.09814453125]","[904.5711669921875, 1048.7938232421875, 976.6829223632812]","[1.5093564987182617, 1.853518009185791, 1.6814378499984741]"
5,"['Model_1', 'Model_2', 'Ensemble']","[1939.177734375, 2090.494384765625, 1995.53125]","[1245.6949462890625, 1604.2286376953125, 1422.8270263671875]","[0.7537997961044312, 0.9730488061904907, 0.8621874451637268]"
6,"['Model_1', 'Model_2', 'Ensemble']","[1755.1678466796875, 1783.6009521484375, 1761.710205078125]","[1122.22216796875, 1280.5096435546875, 1196.1763916015625]","[1.819197654724121, 2.182755708694458, 1.9857072830200195]"
7,"['Model_1', 'Model_2', 'Ensemble']","[8239.6806640625, 8222.626953125, 8200.8427734375]","[4263.43798828125, 5161.0439453125, 4712.24072265625]","[0.7929609417915344, 0.9799066185951233, 0.8864336609840393]"
