Model,Train_RMSE,Validation_RMSE,Test_RMSE,Train_MAE,Validation_MAE,Test_MAE,Train_MAPE,Validation_MAPE,Test_MAPE
Model_1,4088.866943359375,5103.076171875,4412.09814453125,1853.0809326171875,2014.36181640625,1920.791015625,1.271702766418457,1.339056372642517,1.1758891344070435
Model_2,4116.3798828125,5047.90625,4421.189453125,2144.334716796875,2311.619873046875,2261.557373046875,1.4594075679779053,1.57510507106781,1.427707314491272
Ensemble,,5063.15576171875,4400.14501953125,,2160.237548828125,2089.297607421875,,1.4474307298660278,1.295473575592041
