DATE,GDP
7/1/19,20817.581
10/1/19,20951.088
1/1/20,20665.553
4/1/20,19034.83
7/1/20,20511.785
10/1/20,20724.128
1/1/21,20990.541
4/1/21,21309.544
7/1/21,21483.083
10/1/21,21847.602
1/1/22,21738.871
4/1/22,21708.16
7/1/22,21851.134
10/1/22,21989.981
1/1/23,22112.329
4/1/23,22225.35
7/1/23,22490.692
10/1/23,22679.255
