Country,Lag,MAE,RMSE,MAPE
CA,1,36.449927544832214,102.39514838677923,0.19308434134185143
CA,2,39.302754960880186,104.1735499967554,0.20308270921897634
CA,3,41.546753197886694,104.90955693706324,0.21108348211231215
DE,1,150.93829599069556,425.0436560986597,0.16527956653408676
DE,2,167.0932770150372,447.00334186517404,0.18199778642735973
DE,3,172.36875137263462,439.8628284024367,0.18646247536930888
JP,1,285.97461568483584,626.2646532384266,0.23199769271289752
JP,2,319.7892804633209,658.5017395676231,0.25286466198277235
JP,3,339.81904393785004,696.6621578331202,0.2658458146935588
KR,1,110.06269601929851,338.14237807866704,0.32865713343881553
KR,2,131.13362326975778,350.99316992882376,0.3679409104699233
KR,3,148.61206341277853,371.01064859037996,0.39364484079043244
CH,1,45.13529039001083,128.0863167018108,0.4657203036915831
CH,2,51.50392661524813,142.32668294364342,0.5155409027668597
CH,3,57.31432595287193,149.5876087764117,0.5503904897449365
GB,1,101.01541846304782,493.16755988305067,0.21099179106898475
GB,2,128.43076981114478,548.0916498289722,0.254870075334513
GB,3,130.96988656052216,574.2899191260983,0.2595760944949534
US,1,735.0723020337225,2068.9036976612333,0.20085190060720776
US,2,832.77228731195,2173.56221352715,0.2192097433119177
US,3,861.0882376802462,2112.640384154769,0.225055236381986
CN,1,508.16755527653487,1559.0803174857356,0.44499260726176537
CN,2,631.093571695573,1845.6843006548663,0.503075523047385
CN,3,688.4685799005372,1871.8622128986938,0.5396985964127261
