Country,Year,GERD,accel,growth,ape_AGT,ape_AllVar,ape_RW1,ape_RW3,ape_AR1,is2020
CA,2019,30.6966255814402,0.030917808796572036,0.02645796842810437,0.6498547643754534,0.3463048006115524,2.611102294015714,9.580817654716025,3.194999609519612,False
CA,2020,31.111028153459,0.013048341732544554,0.013409626695559815,0.6350679505311491,0.5965838388812097,1.3320118190074246,9.266484102805423,2.357901423052617,True
CA,2021,30.4771553950946,0.03399458649844974,-0.020584959802889925,0.6961086489869648,1.496828086246834,2.0798291380777116,1.9097914515029926,0.7914868129375262,False
CA,2022,28.5643588273563,0.04423269389612636,-0.06481765369901628,5.369469960424345,5.500448763787635,6.6964449624067806,7.464780732420325,5.714246013520751,False
CH,2019,18.5729256553376,,,6.734728323778776,3.101583522327772,,,2.8725709943550934,False
CN,2016,399.390155103394,0.002086976206056315,0.0870843364210295,31.386685582506317,28.5003074085161,8.34002103724313,22.580700935714077,1.0320869862496198,False
CN,2017,430.329703329414,0.012471441071218212,0.07461289534981129,36.43426181528807,30.440740162880196,7.189731033355133,21.86207034068231,1.788552910756593,False
CN,2018,464.70523869315895,0.0022387471450644875,0.07685164249487578,37.21437307485962,22.955213171607884,7.397277349490536,21.22298143731209,1.1257428286457427,False
DE,2019,131.96943394897,0.0013444094571265913,0.028886577243222404,4.412467006881513,0.032046651642390615,2.84733485512787,11.415668550477685,0.2464485157394521,False
DE,2020,125.566643621924,0.07862026951864359,-0.04973369227542118,2.714510550038985,8.278052957820773,5.099117203709394,0.9339980541267173,8.433677375741395,True
DE,2021,129.005315240608,0.07675065669990999,0.027016964424488817,7.580514346253614,2.677336439440841,2.665527084888355,0.6150854955875655,0.4422505419433168,False
GB,2018,79.8627681757809,0.13978513427041167,0.1689988103004366,21.269077449895423,20.938667615912834,15.549009190149429,21.148720563355493,12.198935771086408,False
GB,2019,79.96404528048039,0.16773147453787202,0.0012673357625645754,19.092798910423703,19.020885873191254,0.1266533031742625,18.084325048514497,3.4894743470268303,False
GB,2020,78.153305627187,0.024172080951317274,-0.022904745188752698,26.268394147568642,23.30301973163598,2.3169073128283633,13.701796141097446,6.018857637190965,True
JP,2019,171.84093590987402,0.027291122072894806,-0.004327627469038406,4.7343456046949415,6.120623143313632,0.4337005171648235,5.283767616793035,1.5645497187376072,False
JP,2020,167.081614070721,0.023759230190845984,-0.02808685765988439,9.674231034678568,10.611516696964294,2.8485012343360103,0.9495792164746938,1.0067567166054419,True
JP,2021,172.06248877654502,0.057462175285083586,0.029375317625199193,5.856619531277805,7.809066974566988,2.894805684400281,0.3043790455403342,3.370713121630822,False
KR,2019,99.970920846719,0.03318816352576735,0.046406030429951686,13.185919990583974,9.55900161922978,4.534573519402138,20.612167563338886,0.7525540850195465,False
KR,2020,102.88045893911,0.01771766120111866,0.028688369228833027,13.997410559428754,17.83888043585373,2.82807650976073,14.331808783219593,2.3310169392779065,True
KR,2021,110.148077363916,0.03956952776314544,0.06825789699197847,26.886606024223713,28.15245765557256,6.598043832208406,13.355123187864065,1.7711150336112986,False
US,2019,631.845452979094,0.009794350830800921,0.07459604505809286,7.6379271386339225,4.209107728756957,7.188167140072585,16.40808707053673,3.4604865790711212,False
US,2020,671.963268047983,0.013037194489239533,0.06155885056885333,15.37109581925185,10.950605965226421,5.970239293797864,18.20520619776014,1.9824196443949085,True
US,2021,709.712900312341,0.006902006454957116,0.054656844113896215,23.25837199722345,18.020444385293523,5.319000436337658,17.371186927287877,1.1277015714684062,False
