Model,n,MAPE,RMSE,R2,DM_NN_vs_model,p_NN_vs_model
AGT neural network,23,13.959166966600414,70.1624804416316,0.8937279308711726,,
"MIDAS, corrected",23,32.93822032503006,157.6468922114138,0.4634871905055261,-2.2355002211635777,0.03585495952637632
"MIDAS, previous",23,31.19665874590483,140.7307356652142,0.5724497310543529,-2.4053011908939625,0.025009231935913694
"U-MIDAS, corrected",23,34.19655846961484,163.35215519984263,0.4239515590144258,-2.2932519848471173,0.03175830398116595
"U-MIDAS, previous",23,31.919739949491138,145.4492403719897,0.5432987682254324,-2.4568719979709273,0.02237186278174695
"sg-LASSO-MIDAS, corrected",23,42.89974008526527,392.53466757671754,-2.326329788008554,-1.1187020511416075,0.27533398700733785
"sg-LASSO-MIDAS, previous",23,22.151172240365643,77.027767960485,0.871913341794144,-0.7164307655764404,0.48126216134711963
