Model,max_abs_prediction_difference,reproduced_MAPE,saved_MAPE
MIDAS,0.0007543193273136239,31.196676127847578,31.19665874590483
U-MIDAS,8.526512829121202e-13,31.919739949491188,31.919739949491138
sg-LASSO-MIDAS,1.0800249583553523e-12,22.151172240365653,22.151172240365643
