Method,Lag0_corr,Lag0_p,Peak_lag,Peak_corr,Peak_p,p_lt_0.01_lags,p_lt_0.05_lags
Mosley,-0.16361296269450257,0.034624494862609774,-5,-0.3183388471225436,3.653996311940553e-05,9,11
NN,-0.23618449517770626,0.002120281266199637,-12,-0.2851986284444378,0.00032196901797887617,4,10
Sax,0.4624541932587158,3.140126395063246e-10,-12,0.47646653183935644,3.686693225389e-10,11,13
Uniform,-0.20860898846845008,0.006822117648393589,-7,0.4360012035494174,8.274729010894927e-09,8,9
