Year,Month,NN,Sax,Mosley,date,Employment,NN_share,NN_dev,NN_season_resid,Mosley_share,Mosley_dev,Mosley_season_resid,Sax_share,Sax_dev,Sax_season_resid,Employment_share,Employment_dev,Employment_season_resid
2008,1,42.22595316486724,37.3624807260872,39.3632546599204,2008-01-01,355100,0.09393764545240635,0.01060431211907302,0.0091185813106013,0.08756916500283836,0.00423583166950503,0.002997317826041055,0.08311815849286064,-0.00021517484047268998,0.0010524989204322116,0.08172612197928654,-0.0016072113540467892,-1.343596100330277e-05
2008,2,40.46482429433937,36.745148993141,33.4860654458338,2008-02-01,356300,0.09001976350928684,0.006686430175953509,-0.00042484910865675,0.07449452073148247,-0.008838812601850862,-0.010605132285471204,0.08174481614983287,-0.0015885171835004624,0.0015453372822835038,0.08200230149597239,-0.0013310318373609409,-9.5038204649541e-05
2008,3,39.93378742412813,39.1165915125153,40.2129505181045,2008-03-01,358100,0.0888383963761095,0.005505063042776176,0.0004047371120643687,0.08945943442924616,0.006126101095912828,0.001726703592921981,0.08702042770858132,0.0036870943752479873,0.00440738112652953,0.08241657077100115,-0.0009167625623321823,4.9350094857105874e-05
2008,4,39.29310510380907,35.6159967768006,37.8504984863919,2008-04-01,359600,0.08741310732653439,0.004079773993201058,-0.0036469203518103522,0.08420382349047452,0.0008704901571411905,-0.0035848687642306585,0.07923285626236168,-0.00410047707097165,-0.0014245861595703338,0.08276179516685846,-0.000571538166474872,0.00031837176037628854
2008,5,39.61598043617419,37.6091787237613,36.8427044521292,2008-05-01,361200,0.08813138947823909,0.004798056144905763,0.005789697702421692,0.08196184215946724,-0.0013714911738660907,-0.002296077692787916,0.0836669733165035,0.00033363998317016696,-0.0023485711835128575,0.08313003452243958,-0.00020329881089374557,0.0003646154088168699
2008,6,33.51950966854147,40.832556558926,39.5811440722983,2008-06-01,365100,0.07456892216708484,-0.008764411166248487,-0.005246157575794905,0.08805389102637827,0.004720557693044941,0.002456230641072178,0.09083783629398577,0.007504502960652443,-0.003427338665090292,0.08402761795166859,0.0006942846183352613,0.00011289572706520547
2008,7,39.041427026666504,39.7222103455026,37.5198452777637,2008-07-01,371100,0.08685321360699055,0.003519880273657225,0.005530798222725276,0.08346823834551538,0.00013490501218205164,-0.0002208119139875457,0.08836771303782748,0.005034379704494149,-0.00853250764899545,0.08540851553509782,0.002075182201764489,0.0006997238877708958
2008,8,36.73403813000994,38.2395986574368,35.5720366523734,2008-08-01,366400,0.0817200984527,-0.0016132348806333352,-0.00027221326542268523,0.07913506070600411,-0.004198272627329219,-0.004141839442881404,0.08506943222570844,0.0017360988923751097,-0.003655232357237927,0.08432681242807825,0.0009934790947449257,-7.339424460189067e-05
2008,9,36.961580743922994,33.9390601023044,37.1794671005526,2008-09-01,362800,0.08222629939759334,-0.0011070339357399928,-0.0027867749881184765,0.08271101862318604,-0.000622314710147287,0.0016448524145046143,0.07550227184760827,-0.007831061485725058,0.0011288527995874879,0.08349827387802071,0.00016494054468738084,8.610219325342774e-05
2008,10,39.5986428803486,35.7880045091079,42.1945448477368,2008-10-01,362500,0.08809281961657613,0.0047594862832427975,0.005622497930698625,0.09386777317865715,0.010534439845323817,0.010393355449481258,0.07961551195540117,-0.003717821377932154,0.004430805813706376,0.08342922899884925,9.589566551591877e-05,-0.0002795746832132684
2008,11,32.61830233547474,36.9296951091067,34.0869254179271,2008-11-01,363000,0.07256405812997963,-0.010769275203353704,-0.0038409971785184054,0.07583121929704628,-0.007502114036287047,-0.0026624844258812076,0.08215536526268578,-0.0011779680706475448,0.004233740519259238,0.08354430379746836,0.00021097046413502685,-0.0004748030042047524
2008,12,29.503297574054823,37.6099267676472,35.6210118513054,2008-12-01,363800,0.0656342864864994,-0.017699046846833932,-0.010248399810189658,0.07924401300970398,-0.004089320323629353,0.004292754601218807,0.08366863744664313,0.0003353041133098006,0.0025896195526085583,0.08372842347525891,0.0003950901419255831,-0.0006948129744670378
2009,1,34.8774776071611,34.5038790513281,35.2489393544582,2009-01-01,360700,0.07831982295539824,-0.005013510377935085,-0.006499241186406804,0.079153966370547,-0.004179366962786327,-0.005417880806250302,0.07748088118676459,-0.005852452146568737,-0.004584778385663835,0.08364251924682312,0.0003091859134897873,0.0019029613065332737
2009,2,35.141554264760366,35.6169067082288,36.8706860077405,2009-02-01,360600,0.07891282561753978,-0.0044205077157935535,-0.011531787000403812,0.08279571226152567,-0.0005376210718076591,-0.0023039407554280005,0.0799802628798669,-0.0033530704534664307,-0.0002192159876824645,0.08361933030331138,0.0002859969699780529,0.0015219906026894528
2009,3,37.912133801035594,37.0941334089327,39.0561565142298,2009-03-01,359500,0.0851343563488898,0.0018010230155564716,-0.0032993029151553357,0.08770333961549871,0.004370006282165384,-2.939122082546309e-05,0.08329747907787435,-3.585425545897525e-05,0.0006844324958225673,0.08336425192468232,3.0918591348988445e-05,0.0009970312485382766
2009,4,37.648562838527454,38.217646229763,38.5499542854467,2009-04-01,357300,0.08454248926055476,0.001209155927221428,-0.006517538417789982,0.08656662699584013,0.0032332936625067976,-0.0012220652588650514,0.08582040594221509,0.0024870726088817574,0.005162963520283074,0.08285409516742417,-0.00047923816590915436,0.00041067176094200617
2009,5,37.41574922844376,37.7733250845989,36.5088271719195,2009-05-01,357300,0.08401968996501114,0.0006863566316778064,0.001677998189193735,0.08198313285783254,-0.0013502004755007874,-0.002274786994422613,0.08482265163737261,0.0014893183040392832,-0.0011928928626437412,0.08285409516742417,-0.00047923816590915436,8.86760538014611e-05
2009,6,40.23049706168005,40.2172634452594,38.6856689638381,2009-06-01,360300,0.09034040370601555,0.0070070703726822225,0.010525323963135803,0.08687138382785026,0.0035380504945169283,0.0012737234425441654,0.09031068669187828,0.006977353358544949,-0.0039544882671977855,0.08354976347277618,0.00021643013944284972,-0.00036495875182720615
2009,7,34.25114804001413,41.3097383344391,37.2093057707204,2009-07-01,363900,0.07691335596936226,-0.006419977363971069,-0.004409059414903018,0.08355610669671094,0.00022277336337761522,-0.00013294356279198213,0.09276391570308994,0.009430582369756607,-0.004136304983732991,0.08438456543919859,0.0010512321058652602,-0.00032422620812833287
2009,8,41.48925402931932,40.6980537909665,38.2141263957071,2009-08-01,361200,0.0931670307906858,0.009833697457352478,0.011174719072563127,0.08581250190789252,0.0024791685745591957,0.0025356017590070115,0.09139033514520316,0.00805700181186983,0.0026656705622567925,0.08375846396438179,0.0004251306310484593,-0.0006417427082983571
2009,9,39.12766055504224,33.5997409307427,35.8982124925994,2009-09-01,356600,0.08786390695583518,0.004530573622501852,0.002850832570123368,0.08061195475496141,-0.0027213785783719163,-0.00045421145372001506,0.07545057560305644,-0.007882757730276885,0.0010771565550356608,0.08269177256284203,-0.0006415607704912951,-0.0007203991219252483
