Model,n,MAPE,RMSE,MASE,OOS_R2,DM_vs_RW,p
MIDAS,23,19.694632718086243,64.31163408291813,3.5874403423253014,-21.89195895654419,1.3288146428989196,0.19752777153647944
UMIDAS,23,21.000883388457247,63.977911936479174,3.3382985073002716,-21.65499616041346,1.2376754958944105,0.2288834073127818
