split,N,Mosley_lvl,Mosley_gr,Mosley_gr_p,Sax_lvl,Sax_gr,Sax_gr_p
temporal,216,0.8664303636237424,0.3793690750688042,9.112180739150624e-09,0.724418626609026,-0.08662093805787904,0.20584005359955804
random,216,0.8335371232779096,0.38560109810501686,4.9505827895948464e-09,0.7086962187175946,-0.047813362512044655,0.4855565620363592
alldata,216,0.8316506833035672,0.3947618026010165,1.9723440220215806e-09,0.7043289655529296,-0.04967771914703063,0.46868546552355655
