split,seed,epoch,val_MAPE
temporal,0,1,76.38573900778813
temporal,0,2,60.33492746844248
temporal,0,3,44.31543815401839
temporal,0,4,39.63111575560404
temporal,0,5,31.52594587625575
temporal,0,6,29.049038958174634
temporal,0,7,30.775433958536986
temporal,0,8,33.37073246842577
temporal,0,9,37.27395203984658
temporal,0,10,38.39798756306097
temporal,0,11,44.05229695297139
temporal,0,12,45.172975551328236
temporal,0,13,32.90139313181283
temporal,0,14,32.69919289434411
temporal,0,15,36.01355752141313
temporal,0,16,31.061757666413104
temporal,0,17,36.50764063617857
temporal,0,18,36.55092120529917
temporal,0,19,33.68045566967817
temporal,0,20,36.28243968695565
temporal,0,21,34.499010622976364
temporal,0,22,36.21700683661416
temporal,0,23,40.69609855421153
temporal,0,24,35.712620448181845
temporal,0,25,38.8765873660695
temporal,0,26,35.95440342322752
temporal,0,27,29.491998024029165
temporal,0,28,36.49603246565908
temporal,0,29,27.494390171616455
temporal,0,30,33.01207688953034
temporal,0,31,33.21393479848007
temporal,0,32,36.39819161572696
temporal,0,33,35.334085631225356
temporal,0,34,35.567544247529035
temporal,0,35,38.88822896042052
temporal,0,36,38.88794291265545
temporal,0,37,42.32497779413728
temporal,0,38,37.570180825684425
temporal,0,39,40.09052414790967
temporal,0,40,36.34684049861672
temporal,0,41,38.08858062918994
temporal,0,42,31.591552418030354
temporal,0,43,34.06556890504117
temporal,0,44,30.04985339982586
temporal,0,45,40.6919064512366
temporal,0,46,31.799713646696702
temporal,0,47,32.396785664186694
temporal,0,48,35.039626689021425
temporal,0,49,37.95951154469928
temporal,0,50,31.856132171874656
temporal,0,51,37.867395755097796
temporal,0,52,33.373710233898706
temporal,0,53,37.599375603179226
temporal,0,54,36.912665422693145
temporal,0,55,34.20592857874865
temporal,0,56,37.44870778020733
temporal,0,57,37.86113775373331
temporal,0,58,38.55590708769201
temporal,0,59,36.469373285340694
temporal,0,60,34.404878699872555
temporal,0,61,38.691871257335805
temporal,0,62,32.483273180991894
temporal,0,63,37.90526978458533
temporal,0,64,36.07711326847735
temporal,0,65,39.00535826425862
temporal,0,66,37.51078702520633
temporal,0,67,41.32160710306598
temporal,0,68,36.9163189475049
temporal,0,69,38.57188595380859
temporal,0,70,36.41337718344232
temporal,0,71,28.20510007662474
temporal,0,72,44.23795909470187
temporal,0,73,37.74338973920129
temporal,0,74,44.77135693859282
temporal,0,75,33.80869331227569
temporal,0,76,40.345026816091845
temporal,0,77,38.21838544602387
temporal,0,78,33.87787828732008
temporal,0,79,36.07328045939889
temporal,0,80,36.63230063710014
temporal,0,81,39.465329040979704
temporal,0,82,37.613324570041264
temporal,0,83,35.60642556338568
temporal,0,84,43.94078988269335
temporal,0,85,33.60933419614542
temporal,0,86,39.20505086984766
temporal,0,87,35.99051723179346
