Year,Month,NN,Sax,Mosley,date
2004,1,33.82019966666445,28.688237282898,32.9606514484556,2004-01-01
2004,2,24.9875203232035,28.0386032639846,28.4558868950222,2004-02-01
2004,3,22.5331383563967,30.0931395578973,30.2525550930859,2004-03-01
2004,4,27.767333153703888,30.6333424335577,33.7808424765506,2004-04-01
2004,5,26.779163729870923,33.0627543992953,31.6507212929523,2004-05-01
2004,6,33.86470358786429,33.2544075087679,31.6587891196557,2004-06-01
2004,7,42.32169170673477,36.4270251773139,32.9217596441761,2004-07-01
2004,8,37.29669003504233,32.2225893089656,30.4018512590676,2004-08-01
2004,9,31.630954028328723,27.5393104116167,32.6307118488807,2004-09-01
2004,10,48.83292321919031,28.2327981289782,31.766303426661,2004-10-01
2004,11,19.49661227046852,32.8381373540475,30.3444773786476,2004-11-01
2004,12,25.56609764650656,33.8666828966522,28.0724778408197,2004-12-01
2005,1,40.19993891162903,31.4615155398743,32.6671964988913,2005-01-01
2005,2,23.579524051528363,30.4934522754843,32.544889218487,2005-02-01
2005,3,38.98731030388969,33.6500493216966,35.7795726606667,2005-03-01
2005,4,34.015690036131716,32.4918181436384,33.8750117317527,2005-04-01
2005,5,21.368919880779544,35.1788021128944,29.6011765246062,2005-05-01
2005,6,48.230948125052244,34.764156329613,33.2454243669526,2005-06-01
2005,7,23.07402525928626,35.9844842594659,30.0612715531735,2005-07-01
2005,8,42.54886786124848,32.2556477236717,34.9235512406195,2005-08-01
2005,9,37.74394669249112,29.6351244067091,34.2360364309853,2005-09-01
2005,10,29.95097639475345,29.2210080367915,30.9919574982107,2005-10-01
2005,11,20.80545296659505,32.055035311153,31.8481434937687,2005-11-01
2005,12,29.800889821016128,33.1153968434087,30.532259086287,2005-12-01
2006,1,28.409071541322927,35.30346727897,35.013139522378,2006-01-01
2006,2,36.84873697841004,35.0798265185375,34.8342699673328,2006-02-01
2006,3,33.17014060076048,36.9804848612701,38.5993575231929,2006-03-01
2006,4,27.406467639380143,30.0198173238652,36.8786690520013,2006-04-01
2006,5,36.88847041584194,35.947193810547,33.8555136040802,2006-05-01
2006,6,34.804987729935284,34.625655438862,33.6094958619321,2006-06-01
2006,7,34.98309612669425,36.633343669143,31.8792424183594,2006-07-01
2006,8,45.926995896783616,35.4435467782351,31.6968876335872,2006-08-01
2006,9,33.855199831359975,31.4652671580101,31.9955079222751,2006-09-01
2006,10,30.983482165412923,29.807644289955,34.4949787731576,2006-10-01
2006,11,26.66798537590168,32.8944423663793,32.995797175069,2006-11-01
2006,12,38.2024979726588,33.9464427806876,32.2942728210963,2006-12-01
2007,1,35.576816511746934,36.5246980658169,33.9689213714052,2007-01-01
2007,2,30.668042733158977,33.855521778791,37.4531488693721,2007-02-01
2007,3,37.24796800005397,37.6945684492484,36.9922024193878,2007-03-01
2007,4,40.18588309103457,33.5808743781561,36.6768488716377,2007-04-01
2007,5,34.18817997341743,38.7053590596694,35.7294986670825,2007-05-01
2007,6,38.169034883711504,36.9602582926724,35.5832246210842,2007-06-01
2007,7,43.566638239063806,38.8007442801057,36.765081838147,2007-07-01
2007,8,34.737434167546844,36.7338717853361,37.4714265283471,2007-08-01
2007,9,35.08368867390878,32.8273402925849,33.7704645176445,2007-09-01
2007,10,33.2525526969999,32.3450929487437,36.3843020107406,2007-10-01
2007,11,38.3064615370561,33.890640006747,35.8187776702519,2007-11-01
2007,12,26.772003057643225,35.8357342274704,31.1408061802414,2007-12-01
2008,1,45.81042580669844,37.3624807260872,39.3632546599204,2008-01-01
2008,2,39.15903509811493,36.745148993141,33.4860654458338,2008-02-01
2008,3,41.423032398206786,39.1165915125153,40.2129505181045,2008-03-01
2008,4,37.49539181495436,35.6159967768006,37.8504984863919,2008-04-01
2008,5,40.65889115648615,37.6091787237613,36.8427044521292,2008-05-01
2008,6,35.19616080351478,40.832556558926,39.5811440722983,2008-06-01
2008,7,36.63838486573178,39.7222103455026,37.5198452777637,2008-07-01
2008,8,38.26860668514168,38.2395986574368,35.5720366523734,2008-08-01
2008,9,36.994263384262894,33.9390601023044,37.1794671005526,2008-09-01
2008,10,38.13336051353916,35.7880045091079,42.1945448477368,2008-10-01
2008,11,29.608501508976182,36.9296951091067,34.0869254179271,2008-11-01
2008,12,30.124394746709896,37.6099267676472,35.6210118513054,2008-12-01
2009,1,33.37155171685979,34.5038790513281,35.2489393544582,2009-01-01
2009,2,34.82821230845018,35.6169067082288,36.8706860077405,2009-02-01
2009,3,36.710084351503355,37.0941334089327,39.0561565142298,2009-03-01
2009,4,37.34773334501852,38.217646229763,38.5499542854467,2009-04-01
2009,5,39.92097454068521,37.7733250845989,36.5088271719195,2009-05-01
2009,6,41.46555631943621,40.2172634452594,38.6856689638381,2009-06-01
2009,7,31.796908288338262,41.3097383344391,37.2093057707204,2009-07-01
2009,8,41.78249245508832,40.6980537909665,38.2141263957071,2009-08-01
2009,9,40.08739281349578,33.5997409307427,35.8982124925994,2009-09-01
2009,10,31.57602547079692,31.6618434869577,39.0599893575749,2009-10-01
2009,11,37.710742512061714,37.6063434647557,35.9400016408502,2009-11-01
2009,12,38.723526706607736,37.0223268923694,34.0793328732573,2009-12-01
2010,1,38.772726327149606,37.3040469306713,37.3324562217654,2010-01-01
2010,2,38.888795312486785,35.5167671637215,37.7185865053814,2010-02-01
2010,3,41.202817883881856,37.7073723116369,43.8650382103662,2010-03-01
2010,4,41.89665405475697,35.478404420193,42.4547292761795,2010-04-01
2010,5,40.742089256779416,38.4418559157215,37.9212417405837,2010-05-01
2010,6,37.38376660869165,41.9536026516187,37.3294387953287,2010-06-01
2010,7,30.68114427457509,43.1959120614222,36.5611825537783,2010-07-01
2010,8,35.32089613293282,39.9343564538418,35.9587758287146,2010-08-01
2010,9,41.12133114036295,32.7736780022943,33.3616731436752,2010-09-01
2010,10,33.66544703823202,33.7926738822277,34.3210838547451,2010-10-01
2010,11,33.594570351540135,33.8617637204632,36.323907300291,2010-11-01
2010,12,31.43834350907069,34.748148376648,31.560468459651,2010-12-01
2011,1,41.87008915222932,38.82756974914,39.8456401814422,2011-01-01
2011,2,41.69942920877738,36.3042847743038,38.1499058115584,2011-02-01
2011,3,45.096813230756375,39.8842644956956,43.4273188213024,2011-03-01
2011,4,38.76259183898145,36.3475773622169,41.0401340500366,2011-04-01
